Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
City of Carrollton,Total trihalomethanes (TTHMs)†,19.8 ppb,0.15 ppb,80 ppb
City of Carrollton,Trichloroacetic acid,2.10 ppb,0.1 ppb,
City of Carrollton,"4-Androstene-3,17-dione",0.328 ppt,,
City of Carrollton,Acetone*,12.0 ppb,,
City of Carrollton,Aluminum*,19.9 ppb,600 ppb,
City of Carrollton,Antimony*,0.0506 ppb,1 ppb,6 ppb
City of Carrollton,Atrazine*,0.108 ppb,0.1 ppb,3 ppb
City of Carrollton,Barium*,24.7 ppb,700 ppb,"2,000 ppb"
City of Carrollton,Bromoform,0.293 ppb,0.5 ppb,
City of Carrollton,Chlorate,6.26 ppb,210 ppb,
City of Carrollton,Chloromethane*,0.0497 ppb,2.69 ppb,
City of Carrollton,Chromium (total),0.506 ppb,,100 ppb
City of Carrollton,Cyanide*,44.4 ppb,,200 ppb
City of Carrollton,Di(2-ethylhexyl) phthalate*,0.133 ppb,3 ppb,6 ppb
City of Carrollton,Fluoride*,0.569 ppm,,4 ppm
City of Carrollton,Germanium,0.0381 ppb,,
City of Carrollton,Manganese,5.76 ppb,100 ppb,
City of Carrollton,Molybdenum,1.53 ppb,40 ppb,
City of Carrollton,Monobromoacetic acid,0.348 ppb,25 ppb,
City of Carrollton,Monochloroacetic acid,1.50 ppb,53 ppb,
City of Carrollton,Nitrite,0.0820 ppm,,1 ppm
City of Carrollton,Selenium*,0.723 ppb,30 ppb,50 ppb
City of Carrollton,Simazine*,0.0483 ppb,0.1 ppb,4 ppb
City of Carrollton,Strontium,0.286 ppb,"1,500 ppb",
City of Carrollton,Vanadium,0.0288 ppb,21 ppb,
City of Carrollton,None,,,
Dallas Water Utility,Arsenic,0.297 ppb,0.004 ppb,10 ppb
Dallas Water Utility,Bromate,1.23 ppb,0.1 ppb,10 ppb
Dallas Water Utility,Bromochloroacetic acid,3.56 ppb,0.02 ppb,
Dallas Water Utility,Bromodichloromethane,5.17 ppb,0.06 ppb,
Dallas Water Utility,Chloroform,6.45 ppb,0.4 ppb,
Dallas Water Utility,Chromium (hexavalent),0.275 ppb,0.02 ppb,
Dallas Water Utility,Dibromoacetic acid,1.03 ppb,0.04 ppb,
Dallas Water Utility,Dibromochloromethane,3.23 ppb,0.1 ppb,
Dallas Water Utility,Dichloroacetic acid,7.55 ppb,0.2 ppb,
Dallas Water Utility,Haloacetic acids (HAA5)†,11.4 ppb,0.1 ppb,60 ppb
Dallas Water Utility,Haloacetic acids (HAA9)†,10.9 ppb,0.06 ppb,
Dallas Water Utility,Nitrate,0.641 ppm,0.14 ppm,10 ppm
Dallas Water Utility,Total trihalomethanes (TTHMs)†,15.5 ppb,0.15 ppb,80 ppb
Dallas Water Utility,Trichloroacetic acid,1.31 ppb,0.1 ppb,
Dallas Water Utility,Acetone,12.0 ppb,,
Dallas Water Utility,Aluminum,19.9 ppb,600 ppb,
Dallas Water Utility,Antimony,0.0506 ppb,1 ppb,6 ppb
Dallas Water Utility,Atrazine,0.108 ppb,0.1 ppb,3 ppb
Dallas Water Utility,Barium,24.7 ppb,700 ppb,"2,000 ppb"
Dallas Water Utility,Bromoform,0.675 ppb,0.5 ppb,
Dallas Water Utility,Chlorate,12.6 ppb,210 ppb,
Dallas Water Utility,Chloromethane,0.0497 ppb,2.69 ppb,
Dallas Water Utility,Chromium (total),0.529 ppb,,100 ppb
Dallas Water Utility,Cyanide,44.4 ppb,,200 ppb
Dallas Water Utility,Di(2-ethylhexyl) phthalate,0.133 ppb,3 ppb,6 ppb
Dallas Water Utility,Fluoride,0.569 ppm,,4 ppm
Dallas Water Utility,Manganese,0.456 ppb,100 ppb,
Dallas Water Utility,Molybdenum,1.70 ppb,40 ppb,
Dallas Water Utility,Monobromoacetic acid,0.398 ppb,25 ppb,
Dallas Water Utility,Monochloroacetic acid,1.14 ppb,53 ppb,
Dallas Water Utility,Selenium,0.723 ppb,30 ppb,50 ppb
Dallas Water Utility,Simazine,0.0483 ppb,0.1 ppb,4 ppb
Dallas Water Utility,Strontium,0.305 ppb,"1,500 ppb",
Dallas Water Utility,Vanadium,0.117 ppb,21 ppb,
Dallas Water Utility,None,,,
City of Wylie,Arsenic*,0.150 ppb,0.004 ppb,10 ppb
City of Wylie,Atrazine*,0.249 ppb,0.1 ppb,3 ppb
City of Wylie,Bromate*,0.276 ppb,0.1 ppb,10 ppb
City of Wylie,Bromochloroacetic acid,8.32 ppb,0.02 ppb,
City of Wylie,Bromodichloromethane,12.7 ppb,0.06 ppb,
City of Wylie,Bromoform,2.18 ppb,0.5 ppb,
City of Wylie,Chlorate,"1,006.9 ppb",210 ppb,
City of Wylie,Chloroform,10.9 ppb,0.4 ppb,
City of Wylie,Chromium (hexavalent),0.0849 ppb,0.02 ppb,
City of Wylie,Dibromoacetic acid,4.43 ppb,0.04 ppb,
City of Wylie,Dibromochloromethane,8.48 ppb,0.1 ppb,
City of Wylie,Dichloroacetic acid,11.9 ppb,0.2 ppb,
City of Wylie,Haloacetic acids (HAA5)†,22.7 ppb,0.1 ppb,60 ppb
City of Wylie,Haloacetic acids (HAA9)†,29.9 ppb,0.06 ppb,
City of Wylie,Nitrate,0.497 ppm,0.14 ppm,10 ppm
City of Wylie,Nitrate and nitrite,0.946 ppm,0.14 ppm,10 ppm
City of Wylie,"Radium, combined (-226 &amp; -228)*",0.42 pCi/L,0.05 pCi/L,5 pCi/L
City of Wylie,Total trihalomethanes (TTHMs)†,34.3 ppb,0.15 ppb,80 ppb
City of Wylie,Trichloroacetic acid,3.49 ppb,0.1 ppb,
City of Wylie,Acetone*,10.9 ppb,,
City of Wylie,Aluminum*,1.08 ppb,600 ppb,
City of Wylie,Antimony*,0.0125 ppb,1 ppb,6 ppb
City of Wylie,Barium*,51.5 ppb,700 ppb,"2,000 ppb"
City of Wylie,Chlorite*,17.4 ppb,50 ppb,"1,000 ppb"
City of Wylie,Chromium (total),0.239 ppb,,100 ppb
City of Wylie,Cyanide*,93.6 ppb,,200 ppb
City of Wylie,Di(2-ethylhexyl) phthalate*,0.0765 ppb,3 ppb,6 ppb
City of Wylie,Fluoride*,0.369 ppm,,4 ppm
City of Wylie,Germanium,0.0750 ppb,,
City of Wylie,Manganese,6.71 ppb,100 ppb,
City of Wylie,Methyl ethyl ketone*,0.184 ppb,,
City of Wylie,Monobromoacetic acid,1.31 ppb,25 ppb,
City of Wylie,Monochloroacetic acid,1.51 ppb,53 ppb,
City of Wylie,Selenium*,0.625 ppb,30 ppb,50 ppb
City of Wylie,Silver*,0.0625 ppb,,
City of Wylie,Simazine*,0.0753 ppb,0.1 ppb,4 ppb
City of Wylie,Strontium,0.702 ppb,"1,500 ppb",
City of Wylie,Vanadium,0.0273 ppb,21 ppb,
City of Wylie,None,,,
City of Murphy,Arsenic*,0.150 ppb,0.004 ppb,10 ppb
City of Murphy,Atrazine*,0.249 ppb,0.1 ppb,3 ppb
City of Murphy,Bromate*,0.276 ppb,0.1 ppb,10 ppb
City of Murphy,Bromochloroacetic acid,8.57 ppb,0.02 ppb,
City of Murphy,Bromodichloromethane,13.5 ppb,0.06 ppb,
City of Murphy,Bromoform,2.39 ppb,0.5 ppb,
City of Murphy,Chlorate,582.3 ppb,210 ppb,
City of Murphy,Chloroform,11.4 ppb,0.4 ppb,
City of Murphy,Chromium (hexavalent),0.0810 ppb,0.02 ppb,
City of Murphy,Dibromoacetic acid,4.49 ppb,0.04 ppb,
City of Murphy,Dibromochloromethane,8.84 ppb,0.1 ppb,
City of Murphy,Dichloroacetic acid,13.2 ppb,0.2 ppb,
City of Murphy,Haloacetic acids (HAA5)†,24.7 ppb,0.1 ppb,60 ppb
City of Murphy,Haloacetic acids (HAA9)†,30.9 ppb,0.06 ppb,
City of Murphy,Nitrate,0.604 ppm,0.14 ppm,10 ppm
City of Murphy,Nitrate and nitrite,1.13 ppm,0.14 ppm,10 ppm
City of Murphy,"Radium, combined (-226 &amp; -228)*",0.42 pCi/L,0.05 pCi/L,5 pCi/L
City of Murphy,Total trihalomethanes (TTHMs)†,36.1 ppb,0.15 ppb,80 ppb
City of Murphy,Trichloroacetic acid,3.83 ppb,0.1 ppb,
City of Murphy,Acetone*,10.9 ppb,,
City of Murphy,Aluminum*,1.08 ppb,600 ppb,
City of Murphy,Antimony*,0.0125 ppb,1 ppb,6 ppb
City of Murphy,Barium*,51.5 ppb,700 ppb,"2,000 ppb"
City of Murphy,Chlorite*,17.4 ppb,50 ppb,"1,000 ppb"
City of Murphy,Chromium (total),0.243 ppb,,100 ppb
City of Murphy,Cyanide*,93.6 ppb,,200 ppb
City of Murphy,Di(2-ethylhexyl) phthalate*,0.0765 ppb,3 ppb,6 ppb
City of Murphy,Fluoride*,0.369 ppm,,4 ppm
City of Murphy,Manganese,7.00 ppb,100 ppb,
City of Murphy,Methyl ethyl ketone*,0.184 ppb,,
City of Murphy,Molybdenum,0.410 ppb,40 ppb,
City of Murphy,Monobromoacetic acid,1.69 ppb,25 ppb,
City of Murphy,Monochloroacetic acid,1.42 ppb,53 ppb,
City of Murphy,Selenium*,0.625 ppb,30 ppb,50 ppb
City of Murphy,Silver*,0.0625 ppb,,
City of Murphy,Simazine*,0.0753 ppb,0.1 ppb,4 ppb
City of Murphy,Strontium,0.724 ppb,"1,500 ppb",
City of Murphy,None,,,
City of Farmers Branch,Arsenic*,0.297 ppb,0.004 ppb,10 ppb
City of Farmers Branch,Bromate*,1.23 ppb,0.1 ppb,10 ppb
City of Farmers Branch,Bromochloroacetic acid,3.05 ppb,0.02 ppb,
City of Farmers Branch,Bromodichloromethane,4.98 ppb,0.06 ppb,
City of Farmers Branch,Chloroform,9.29 ppb,0.4 ppb,
City of Farmers Branch,Chromium (hexavalent),0.386 ppb,0.02 ppb,
City of Farmers Branch,Dibromoacetic acid,0.623 ppb,0.04 ppb,
City of Farmers Branch,Dibromochloromethane,2.47 ppb,0.1 ppb,
City of Farmers Branch,Dichloroacetic acid,8.18 ppb,0.2 ppb,
City of Farmers Branch,Haloacetic acids (HAA5)†,11.8 ppb,0.1 ppb,60 ppb
City of Farmers Branch,Haloacetic acids (HAA9)†,11.8 ppb,0.06 ppb,
City of Farmers Branch,Nitrate,0.893 ppm,0.14 ppm,10 ppm
City of Farmers Branch,Nitrate and nitrite,1.15 ppm,0.14 ppm,10 ppm
City of Farmers Branch,Total trihalomethanes (TTHMs)†,16.8 ppb,0.15 ppb,80 ppb
City of Farmers Branch,Trichloroacetic acid,1.81 ppb,0.1 ppb,
City of Farmers Branch,"1,4-Dioxane",0.0157 ppb,0.35 ppb,
City of Farmers Branch,Acetone*,12.0 ppb,,
City of Farmers Branch,Aluminum*,19.9 ppb,600 ppb,
City of Farmers Branch,Antimony*,0.0506 ppb,1 ppb,6 ppb
City of Farmers Branch,Atrazine*,0.108 ppb,0.1 ppb,3 ppb
City of Farmers Branch,Barium*,24.7 ppb,700 ppb,"2,000 ppb"
City of Farmers Branch,Bromochloromethane,0.0170 ppb,,
City of Farmers Branch,Bromoform,0.0802 ppb,0.5 ppb,
City of Farmers Branch,Chlorate*,12.6 ppb,210 ppb,
City of Farmers Branch,Chloromethane*,0.0497 ppb,2.69 ppb,
City of Farmers Branch,Chromium (total),0.458 ppb,,100 ppb
City of Farmers Branch,Cyanide*,44.4 ppb,,200 ppb
City of Farmers Branch,Di(2-ethylhexyl) phthalate*,0.133 ppb,3 ppb,6 ppb
City of Farmers Branch,Fluoride*,0.569 ppm,,4 ppm
City of Farmers Branch,Manganese,0.663 ppb,100 ppb,
City of Farmers Branch,Molybdenum,2.34 ppb,40 ppb,
City of Farmers Branch,Monobromoacetic acid,0.0656 ppb,25 ppb,
City of Farmers Branch,Monochloroacetic acid,1.17 ppb,53 ppb,
City of Farmers Branch,Nitrite,0.0160 ppm,,1 ppm
City of Farmers Branch,Selenium*,0.723 ppb,30 ppb,50 ppb
City of Farmers Branch,Simazine*,0.0483 ppb,0.1 ppb,4 ppb
City of Farmers Branch,Strontium,0.282 ppb,"1,500 ppb",
City of Farmers Branch,Vanadium,0.284 ppb,21 ppb,
City of Farmers Branch,None,,,
City of Coppell,Arsenic*,0.297 ppb,0.004 ppb,10 ppb
City of Coppell,Bromate*,1.23 ppb,0.1 ppb,10 ppb
City of Coppell,Bromochloroacetic acid,4.05 ppb,0.02 ppb,
City of Coppell,Bromodichloromethane,5.78 ppb,0.06 ppb,
City of Coppell,Chloroform,11.1 ppb,0.4 ppb,
City of Coppell,Chromium (hexavalent),0.353 ppb,0.02 ppb,
City of Coppell,Dibromoacetic acid,0.949 ppb,0.04 ppb,
City of Coppell,Dibromochloromethane,3.06 ppb,0.1 ppb,
City of Coppell,Dichloroacetic acid,12.6 ppb,0.2 ppb,
City of Coppell,Haloacetic acids (HAA5)†,17.4 ppb,0.1 ppb,60 ppb
City of Coppell,Haloacetic acids (HAA9)†,24.7 ppb,0.06 ppb,
City of Coppell,Nitrate,1.04 ppm,0.14 ppm,10 ppm
City of Coppell,Nitrate and nitrite,1.16 ppm,0.14 ppm,10 ppm
City of Coppell,Total trihalomethanes (TTHMs)†,20.4 ppb,0.15 ppb,80 ppb
City of Coppell,Trichloroacetic acid,2.07 ppb,0.1 ppb,
City of Coppell,Acetone*,12.0 ppb,,
City of Coppell,Aluminum*,19.9 ppb,600 ppb,
City of Coppell,Antimony*,0.0506 ppb,1 ppb,6 ppb
City of Coppell,Atrazine*,0.108 ppb,0.1 ppb,3 ppb
City of Coppell,Barium*,24.7 ppb,700 ppb,"2,000 ppb"
City of Coppell,Bromoform,0.458 ppb,0.5 ppb,
City of Coppell,Chlorate,6.30 ppb,210 ppb,
City of Coppell,Chloromethane*,0.0497 ppb,2.69 ppb,
City of Coppell,Chromium (total),0.491 ppb,,100 ppb
City of Coppell,Cyanide*,44.4 ppb,,200 ppb
City of Coppell,Di(2-ethylhexyl) phthalate*,0.133 ppb,3 ppb,6 ppb
City of Coppell,Fluoride*,0.569 ppm,,4 ppm
City of Coppell,Germanium,0.150 ppb,,
City of Coppell,Manganese,0.600 ppb,100 ppb,
City of Coppell,Molybdenum,2.07 ppb,40 ppb,
City of Coppell,Monobromoacetic acid,0.401 ppb,25 ppb,
City of Coppell,Monochloroacetic acid,1.43 ppb,53 ppb,
City of Coppell,Nitrite,0.00350 ppm,,1 ppm
City of Coppell,Selenium*,0.723 ppb,30 ppb,50 ppb
City of Coppell,Simazine*,0.0483 ppb,0.1 ppb,4 ppb
City of Coppell,Strontium,0.240 ppb,"1,500 ppb",
City of Coppell,Vanadium,0.0770 ppb,21 ppb,
City of Coppell,None,,,
City of Irving,Arsenic*,0.297 ppb,0.004 ppb,10 ppb
City of Irving,Bromate*,1.23 ppb,0.1 ppb,10 ppb
City of Irving,Bromochloroacetic acid,3.89 ppb,0.02 ppb,
City of Irving,Bromodichloromethane,5.40 ppb,0.06 ppb,
City of Irving,Chloroform,9.70 ppb,0.4 ppb,
City of Irving,Chromium (hexavalent),0.320 ppb,0.02 ppb,
City of Irving,Dibromoacetic acid,0.989 ppb,0.04 ppb,
City of Irving,Dibromochloromethane,3.16 ppb,0.1 ppb,
City of Irving,Dichloroacetic acid,12.0 ppb,0.2 ppb,
City of Irving,Haloacetic acids (HAA5)†,16.9 ppb,0.1 ppb,60 ppb
City of Irving,Haloacetic acids (HAA9)†,26.9 ppb,0.06 ppb,
City of Irving,Nitrate,1.17 ppm,0.14 ppm,10 ppm
City of Irving,Nitrate and nitrite,1.17 ppm,0.14 ppm,10 ppm
City of Irving,Total trihalomethanes (TTHMs)†,18.8 ppb,0.15 ppb,80 ppb
City of Irving,Trichloroacetic acid,2.05 ppb,0.1 ppb,
City of Irving,"1,4-Dioxane",0.0300 ppb,0.35 ppb,
City of Irving,"4-Androstene-3,17-dione",0.700 ppt,,
City of Irving,Acetone*,12.0 ppb,,
City of Irving,Aluminum*,19.9 ppb,600 ppb,
City of Irving,Antimony*,0.0506 ppb,1 ppb,6 ppb
City of Irving,Atrazine*,0.108 ppb,0.1 ppb,3 ppb
City of Irving,Barium*,24.7 ppb,700 ppb,"2,000 ppb"
City of Irving,Bromoform,0.521 ppb,0.5 ppb,
City of Irving,Chlorate,29.6 ppb,210 ppb,
City of Irving,Chloromethane*,0.0497 ppb,2.69 ppb,
City of Irving,Chromium (total),0.504 ppb,,100 ppb
City of Irving,Cyanide*,44.4 ppb,,200 ppb
City of Irving,Di(2-ethylhexyl) phthalate*,0.133 ppb,3 ppb,6 ppb
City of Irving,Fluoride*,0.569 ppm,,4 ppm
City of Irving,Manganese,2.77 ppb,100 ppb,
City of Irving,Molybdenum,2.19 ppb,40 ppb,
City of Irving,Monobromoacetic acid,0.283 ppb,25 ppb,
City of Irving,Monochloroacetic acid,1.66 ppb,53 ppb,
City of Irving,Nitrite,0.0575 ppm,,1 ppm
City of Irving,Selenium*,0.723 ppb,30 ppb,50 ppb
City of Irving,Simazine*,0.0483 ppb,0.1 ppb,4 ppb
City of Irving,Strontium,0.315 ppb,"1,500 ppb",
City of Irving,Vanadium,0.214 ppb,21 ppb,
City of Irving,None,,,
Denton County Fresh Water Supply District 1-a Castle Hills,Bromochloroacetic acid,3.27 ppb,0.02 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Bromodichloromethane,5.71 ppb,0.06 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Bromoform,2.05 ppb,0.5 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Chloroform,5.85 ppb,0.4 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Dibromoacetic acid,1.58 ppb,0.04 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Dibromochloromethane,5.76 ppb,0.1 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Dichloroacetic acid,4.66 ppb,0.2 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Haloacetic acids (HAA5)†,8.01 ppb,0.1 ppb,60 ppb
Denton County Fresh Water Supply District 1-a Castle Hills,Nitrate,0.696 ppm,0.14 ppm,10 ppm
Denton County Fresh Water Supply District 1-a Castle Hills,Nitrate and nitrite,0.541 ppm,0.14 ppm,10 ppm
Denton County Fresh Water Supply District 1-a Castle Hills,Total trihalomethanes (TTHMs)†,19.4 ppb,0.15 ppb,80 ppb
Denton County Fresh Water Supply District 1-a Castle Hills,Trichloroacetic acid,0.577 ppb,0.1 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Monobromoacetic acid,0.181 ppb,25 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Monochloroacetic acid,1.01 ppb,53 ppb,
Denton County Fresh Water Supply District 1-a Castle Hills,Nitrite,0.0643 ppm,,1 ppm
Denton County Fresh Water Supply District 1-a Castle Hills,None,,,
City of Celina,Arsenic*,0.234 ppb,0.004 ppb,10 ppb
City of Celina,Bromate*,4.06 ppb,0.1 ppb,10 ppb
City of Celina,Bromochloroacetic acid,3.95 ppb,0.02 ppb,
City of Celina,Bromodichloromethane,8.15 ppb,0.06 ppb,
City of Celina,Chloroform,21.4 ppb,0.4 ppb,
City of Celina,Dibromoacetic acid,0.498 ppb,0.04 ppb,
City of Celina,Dibromochloromethane,1.87 ppb,0.1 ppb,
City of Celina,Dichloroacetic acid,14.9 ppb,0.2 ppb,
City of Celina,Haloacetic acids (HAA5)†,24.8 ppb,0.1 ppb,60 ppb
City of Celina,Nitrate,0.282 ppm,0.14 ppm,10 ppm
City of Celina,Nitrate and nitrite,0.477 ppm,0.14 ppm,10 ppm
City of Celina,"Radium, combined (-226 &amp; -228)",1.50 pCi/L,0.05 pCi/L,5 pCi/L
City of Celina,Total trihalomethanes (TTHMs)†,32.9 ppb,0.15 ppb,80 ppb
City of Celina,Trichloroacetic acid,7.57 ppb,0.1 ppb,
City of Celina,Acetone,4.08 ppb,,
City of Celina,Aluminum,5.50 ppb,600 ppb,
City of Celina,Atrazine,0.140 ppb,0.1 ppb,3 ppb
City of Celina,Barium,18.5 ppb,700 ppb,"2,000 ppb"
City of Celina,Bromoform,0.0245 ppb,0.5 ppb,
City of Celina,Chromium (total),1.79 ppb,,100 ppb
City of Celina,Cyanide,16.4 ppb,,200 ppb
City of Celina,Di(2-ethylhexyl) phthalate*,0.391 ppb,3 ppb,6 ppb
City of Celina,Fluoride,0.422 ppm,,4 ppm
City of Celina,Manganese,1.27 ppb,100 ppb,
City of Celina,Methyl ethyl ketone,0.476 ppb,,
City of Celina,Metolachlor,0.122 ppb,,
City of Celina,Monobromoacetic acid,0.194 ppb,25 ppb,
City of Celina,Monochloroacetic acid,1.68 ppb,53 ppb,
City of Celina,Selenium*,0.275 ppb,30 ppb,50 ppb
City of Celina,Simazine*,0.0264 ppb,0.1 ppb,4 ppb
City of Celina,None,,,
Mustang SUD,Arsenic,0.0769 ppb,0.004 ppb,10 ppb
Mustang SUD,Bromochloroacetic acid,3.86 ppb,0.02 ppb,
Mustang SUD,Bromodichloromethane,6.72 ppb,0.06 ppb,
Mustang SUD,Chloroform,14.9 ppb,0.4 ppb,
Mustang SUD,Dibromoacetic acid,0.714 ppb,0.04 ppb,
Mustang SUD,Dibromochloromethane,3.05 ppb,0.1 ppb,
Mustang SUD,Dichloroacetic acid,12.0 ppb,0.2 ppb,
Mustang SUD,Haloacetic acids (HAA5)†,20.8 ppb,0.1 ppb,60 ppb
Mustang SUD,Haloacetic acids (HAA9)†,14.0 ppb,0.06 ppb,
Mustang SUD,Nitrate and nitrite,0.354 ppm,0.14 ppm,10 ppm
Mustang SUD,"Radium, combined (-226 &amp; -228)",1.50 pCi/L,0.05 pCi/L,5 pCi/L
Mustang SUD,Total trihalomethanes (TTHMs)†,30.6 ppb,0.15 ppb,80 ppb
Mustang SUD,Trichloroacetic acid,6.88 ppb,0.1 ppb,
Mustang SUD,Aluminum,3.80 ppb,600 ppb,
Mustang SUD,Barium,16.4 ppb,700 ppb,"2,000 ppb"
Mustang SUD,Bromoform,0.694 ppb,0.5 ppb,
Mustang SUD,Chromium (total),1.98 ppb,,100 ppb
Mustang SUD,Cyanide,3.23 ppb,,200 ppb
Mustang SUD,Fluoride,0.419 ppm,,4 ppm
Mustang SUD,Manganese,0.114 ppb,100 ppb,
Mustang SUD,Methyl ethyl ketone,0.0777 ppb,,
Mustang SUD,Monobromoacetic acid,0.196 ppb,25 ppb,
Mustang SUD,Monochloroacetic acid,1.08 ppb,53 ppb,
Mustang SUD,Nitrate,0.154 ppm,0.14 ppm,10 ppm
Mustang SUD,None,,,
Willow Wood Addition Meadow Vista,Bromodichloromethane,1.90 ppb,0.06 ppb,
Willow Wood Addition Meadow Vista,Bromoform,2.38 ppb,0.5 ppb,
Willow Wood Addition Meadow Vista,Chloroform,2.36 ppb,0.4 ppb,
Willow Wood Addition Meadow Vista,Dibromochloromethane,2.04 ppb,0.1 ppb,
Willow Wood Addition Meadow Vista,Acetone,3.98 ppb,,
Willow Wood Addition Meadow Vista,Aluminum,8.00 ppb,600 ppb,
Willow Wood Addition Meadow Vista,Barium,8.57 ppb,700 ppb,"2,000 ppb"
Willow Wood Addition Meadow Vista,Chromium (total),0.533 ppb,,100 ppb
Willow Wood Addition Meadow Vista,Cyanide,3.30 ppb,,200 ppb
Willow Wood Addition Meadow Vista,Di(2-ethylhexyl) phthalate,0.0556 ppb,3 ppb,6 ppb
Willow Wood Addition Meadow Vista,Fluoride,0.592 ppm,,4 ppm
Willow Wood Addition Meadow Vista,Manganese,6.17 ppb,100 ppb,
Willow Wood Addition Meadow Vista,Methyl ethyl ketone,2.87 ppb,,
Willow Wood Addition Meadow Vista,Nitrate,0.118 ppm,0.14 ppm,10 ppm
Willow Wood Addition Meadow Vista,Nitrate and nitrite,0.0399 ppm,0.14 ppm,10 ppm
Willow Wood Addition Meadow Vista,Tetrahydrofuran,1.25 ppb,,
Willow Wood Addition Meadow Vista,Toluene,0.334 ppb,150 ppb,"1,000 ppb"
