Utility,Contaminant_Factor,Zip,county_FIPS
Roy Water and Sewer District,388,59032,30027
Spring Creek Colony Lewistown,3,59032,30027
Winifred Town of,51,59032,30027
Duncan Ranch Colony,69,59036,30107
Harlowton City of,447,59036,30107
Judith Gap Town of,78,59036,30107
Martinsdale Colony,125,59036,30107
Springwater Colony,0,59036,30107
Worden Ballantine Yellowstone,1499,59044,30111
Golden Valley Colony,36,59046,30037
Ryegate Town of,941,59046,30037
Martinsdale Water and Sewer District,108,59053,30059
Springdale Hutterite Colony,129,59053,30059
Melstone Town of,33,59054,30087
Musselshell Community County WSD,5,59054,30087
Roundup Water Department,1148,59054,30087
Jordan Town of,88,59058,30033
Winnett Town of,188,59058,30033
City of Bozeman,768,59086,30067
West Yellowstone Town of,385,59086,30067
Belgrade City of,130,59086,30067
River Rock County Water and Sewer District,110,59086,30067
Three Forks City of,1879,59086,30067
North Star Zoot Water,441,59086,30067
Manhattan Town of,601,59086,30067
Rae Water and Sewer District 313,38,59086,30067
Valley Grove Subdivision,138,59086,30067
Bainville Town of,1312,59201,30085
Cherry Creek Wua Glasgow,10,59201,30085
Culbertson Town of,1796,59201,30085
Dry Prairie Rural Water Authority,1603,59201,30085
Dry Prairie Valley County,1625,59201,30085
Fort Peck Rural County Water District,2914,59201,30085
Fort Peck Town of,2650,59201,30085
Froid Town of,1623,59201,30085
Glasgow City of,2168,59201,30085
Hinsdale Water Department,822,59201,30085
Montana Aviation Research Company,1947,59201,30085
Nashua Town of,1577,59201,30085
North Valley County Water and Sewer District,1630,59201,30085
Opheim Town of,361,59201,30085
Antelope County Water and Sewer,1977,59211,30091
Medicine Lake Town of,1772,59211,30091
Outlook County Sewer and Water,654,59211,30091
Plentywood Water Department,916,59211,30091
Westby Town of,4447,59211,30091
Fairview Town of,920,59213,30085
Lambert Sewer and Water Association,94,59213,30085
Richland County Valley View Wua,14,59213,30085
Sidney City of,270,59213,30085
Circle Town of,245,59214,30055
Dry Redwater Regional Water Authority,270,59214,30055
Prairie Community Hospital,1278,59214,30055
Alexander City of,1650,59221,30083
Arnegard Diamond Estates,242,59221,30083
Badlands Development Long X Tc,248,59221,30083
Mckenzie County Rw-system 2,1165,59221,30083
Watford City City of,414,59221,30083
Watford Residence Suites,35,59221,30083
Flaxville Town of,1089,59222,30019
Scobey City of,1949,59222,30019
Casitas Del Mesa Mobile Home Park,130,59259,30021
Pinnacle Estates Of Glendive,627,59259,30021
Glendive City of,1373,59259,30021
Highland Park Utilities Association,657,59259,30021
I 94 Mobile Home Park,22,59259,30021
Rainbow Estates,16,59259,30021
Richey Town of,57,59259,30021
Whispering Trees Mobile Park,1284,59259,30021
Camp Creek Wua Inc.,507,59261,30071
Dodson Town of,20,59261,30071
East Malta Colony,1,59261,30071
Loring Hutterian Brethren Inc.,0,59261,30071
Malta City of,382,59261,30071
Saco Town of,163,59261,30071
Crosby City of,167,59275,30091
Fortuna City of,243,59275,30091
Noonan City of,154,59275,30091
Custer Co. Water and Sewer District,3072,59301,30017
Miles City City of,2823,59301,30017
Palisades Apartments,1,59301,30017
Pine Hills Youth Correct Facil,1698,59301,30017
Beulah Land Water,524,59311,30011
Buckmiller Enterprises Llc,161,59311,30011
Ekalaka Town of,31,59311,30011
Hulett Town Of,606,59311,30011
Moorcroft Town Of,464,59311,30011
Pine Haven Town Of,521,59311,30011
Roberts Trailer Park,1576,59311,30011
Sundance City Of,733,59311,30011
Vista West Improvement & Serv District,1382,59311,30011
Baker City of,23,59313,30025
Fallon County Water District,24,59313,30025
North Baker Water and Or Sewer District,29,59313,30025
Plevna Town of,89,59313,30025
Wibaux Town of,0,59353,30109
City of Great Falls,2744,59401,30013
Malmstrom Air Force Base,2478,59401,30013
Sun Prairie Village County,36,59401,30013
Black Eagle Cascade County Water Sewer,2839,59401,30013
Fort Benton City of,1895,59404,30013
Cascade Town of,729,59404,30013
Big Sandy Town of,2251,59404,30013
Belt Town of,134,59404,30013
Helena Water System,3633,59410,30049
East Helena City of,143,59410,30049
Ten Mile and Pleasant Valley Wua,1375,59410,30049
Big Sky Colony Cut Bank,175,59411,30035
Cut Bank North Water District,1096,59411,30035
Cut Bank City of,789,59411,30035
Glacier Colony,1,59411,30035
Glendale Colony,17,59411,30035
Hidden Lake Colony,1397,59411,30035
Horizon Colony,10,59411,30035
Ncmrwa Etheridge To Cutbank,517,59411,30035
Piegan Border Station,318,59411,30035
Seville Colony,736,59411,30035
Zenith Colony,9,59411,30035
Birch Creek Colony,1564,59416,30073
Brady County Water Sewer District,2547,59416,30073
Bynum - Teton Co. W & S District,614,59416,30073
Carter Chouteau County Water District,1192,59416,30073
Choteau City of,127,59416,30073
Conrad Water Department,925,59416,30073
Dutton Town of,416,59416,30073
Fairfield Town of,154,59416,30073
Geraldine Town of,274,59416,30073
Hawarden Square Butte Water,446,59416,30073
Highwood County Water and Sewer District,155,59416,30073
Hillcrest Colony,426,59416,30073
Kingsbury Colony,48,59416,30073
Loma County Water District,1380,59416,30073
Midway Colony Inc.,105,59416,30073
Miller Colony,429,59416,30073
Ncmrwa - Pondera County Service Area,1249,59416,30073
New Miami Colony,144,59416,30073
New Rockport Colony Inc.,162,59416,30073
North Geraldine Water System,274,59416,30073
Pondera Colony Water Systems,421,59416,30073
Power Teton County Water District,1016,59416,30073
South Chouteau County Water District,25,59416,30073
Tiber County Water District,1653,59416,30073
Twin Hills Colony Inc.,1799,59416,30073
Valier Town of,30,59416,30073
Geyser Judith Basin Cty Water Sewer District,23,59418,30045
Hobson Town of,24,59418,30045
Stanford Town of,33,59418,30045
Surprise Creek Colony,196,59418,30045
Camrose Colony,1674,59435,30101
Devon Water Inc.,1966,59435,30101
Galata County Water District,129,59435,30101
Hillside Colony Inc.,36,59435,30101
Kevin Town of,353,59435,30101
Ncmrwa Shelby To Ethridge,558,59435,30101
Oilmont County Water District,19,59435,30101
Rimrock Colony,21,59435,30101
Shelby City of,41,59435,30101
Sunburst Town of,3,59435,30101
Swayze Water Line Assoc Llc,3,59435,30101
Sweetgrass Water Users Association,1232,59435,30101
Chester Town of,1082,59444,30101
Eagle Creek Colony,0,59444,30101
Tiber Service Area,1880,59444,30101
Riverview Colony,1986,59444,30101
Sage Creek Colony,2,59444,30101
Sage Creek County Water District,87,59444,30101
South Chester Water District,1317,59444,30101
Cool Spring Colony,11,59501,30041
East End Colony Inc.,86,59501,30041
Gildford Colony,7,59501,30041
Havre City of,1149,59501,30041
Hilldale Colony,979,59501,30041
Ncmrwa - North Havre County Water District,1886,59501,30041
Chinook City of,1750,59523,30005
Harlem City of,3219,59523,30005
Hartland Colony,806,59523,30005
North Harlem Colony,380,59523,30005
Perrys Water Service,1750,59523,30005
Turner Colony,816,59523,30005
Basin County Water and Sewer District,425,59631,30043
Blue Sky Heights Wua Clancy,912,59631,30043
Boulder City of,110,59631,30043
Elkhorn Health and Rehabilitation LLC,93,59631,30043
Hangmans Tree Wua,4046,59631,30043
Jefferson Hills Wua,1893,59631,30043
Jefferson Tracts Association Inc.,2150,59631,30043
Red Cliff Estates Homeowners Association,469,59631,30043
Stoney Brook Village Condominium Association,1756,59631,30043
Sunnybrook Acres Homeowners Association,541,59631,30043
Whitehall Town of,1777,59631,30043
North Star PUD,732,59635,30049
Mchugh Mobile Home Park,603,59635,30049
Deer Lodge City of,1922,59639,30049
Montana State Prison,291,59639,30049
Treasure State Acres Wua,882,59639,30049
Townsend City of,677,59643,30007
Andesite Ridge Water System,883,59710,30057
Big Sky County Water and Sewer District 363,883,59710,30057
Encampment Trail,390,59710,30057
Ennis Town of,488,59710,30057
Lower Pioneer Mountain Water System,63,59710,30057
Sheridan Town of,40,59710,30057
Twin Bridges Town of,507,59710,30057
Valley Garden Golf Village Homeowners Association,911,59710,30057
Virginia City Water Department,729,59710,30057
Anaconda Ccc,336,59711,30023
Anaconda Water Department,519,59711,30023
Galen Facility,243,59711,30023
Hunters Trailer Court Anaconda,13,59711,30023
Philipsburg Town of,2188,59711,30023
Landmark Subdivision,89,59714,30031
Beaverhead Jackson Water and Sewer District,10389,59724,30001
Clarks Lookout,3394,59724,30001
Dillon City of,1421,59724,30001
Hildreth Subdivision No. 2,2266,59724,30001
Keller Subdivision No. 2 Homeowners Association,759,59724,30001
Lima Town of,10,59724,30001
Lolo Water and Sewer District,54,59801,30063
Seeley Lake Water District,740,59801,30063
El Mar Estates Msla County Water,26,59801,30063
Travois Village Mobile Park,402,59801,30063
Phantom Hills Water System,208,59801,30063
Grant Creek Water Users Association Inc.,52,59801,30063
Katoonah Lodges,21,59801,30063
Superior Town of,99,59820,30061
Alberton Town of,499,59820,30061
Polson City of,114,59821,30063
Ronan City of,319,59821,30063
Pablo Lake County Water and Sewer District,1,59821,30063
Thompson Falls City of,96,59821,30063
Plains Town of,116,59821,30063
Clearview Heights Water Association,7,59824,30047
Consolidated Charlo Lake County W and S District,1254,59824,30047
Crane Mountain Estates,65,59824,30047
Jette Lake Landowners Association,26,59824,30047
Jette Meadows Lake Company W and S District,99,59824,30047
Kootenai Woods Subdivision,2,59824,30047
Mission Meadows Trailer and Rv Court,252,59824,30047
Mission Mountain Lake County W and S District,1003,59824,30047
Pinewood Shores Wua,55,59824,30047
Pleasant View Subdivision,65,59824,30047
Ponderilla Hills Lake County Water Sewer,6,59824,30047
Ridgewood Estates,602,59824,30047
Round Butte Water Company,876,59824,30047
Shelter Bay Estates,60,59824,30047
St. Ignatius Town of,37,59824,30047
Woods Bay Water and Sewer District,52,59824,30047
Antigone Acres Homeowners Association,546,59827,30081
Big Sky Trailer Court Hamilton,4,59827,30081
Bitterroot Pines Trct Florence,11,59827,30081
Bluebird Mb Hm Park Hamilton,41,59827,30081
Centennial Subdivision,524,59827,30081
Corvallis Mobile Village,1832,59827,30081
Daly Estates Subdivision,477,59827,30081
Darby Town of,48,59827,30081
Forest View Homeowners Association,47,59827,30081
Hamilton City of,1472,59827,30081
Honey Lane Community,5,59827,30081
Kootenai Creek Village,78,59827,30081
Mountain Shadows Estates Stevensville,65,59827,30081
Pinesdale Town of,1172,59827,30081
Stevensville Town of,378,59827,30081
Stock Farm The,2200,59827,30081
Trapper Creek Job Corps,56,59827,30081
Wards Cove Water Users,4,59827,30081
Westana Mobile Manor Hamilton,17,59827,30081
White Bird Community The,5,59827,30081
Wildflower The,6,59827,30081
Cougar Meadows,760,59830,30061
High Country Park,202,59830,30061
Trestle Creek I and II,253,59830,30061
West Mountain Estates,256,59830,30061
Avista Utilities Noxon Rapids Dam,2,59831,30089
Clear View Academy Unapproved,272,59831,30089
Heron Community Water System,7,59831,30089
Hot Springs Municipal Water,28,59831,30089
Noxon Water District,1,59831,30089
Salish Shores Trade Winds Commercial Village,2123,59831,30089
Woodside Park Water and Sewer District,0,59831,30089
Kalispell Public Works,46,59845,30089
Whitefish City of,821,59845,30089
Flathead County Water and Sewer,32,59845,30089
Columbia Falls City of,18,59845,30089
Bigfork County Water and Sewer,3,59845,30089
Big Mountain Water Company,251,59845,30089
Grangeville Water Department,30,59847,30063
Kooskia Water Department,5,59847,30063
Hungry Horse County Water and Sewer District,2,59901,30029
Somers County Water and Sewer District,22,59901,30029
Ptarmigan Village Inc.,210,59901,30029
Angel Island Subdivision,751,59917,30053
Barnaby Lake Homeowners Association,1063,59917,30053
Carpenter Lake Homeowners Association,5,59917,30053
Creekside Motel Rv and Trlr Park Unappro,40,59917,30053
Crystal Lakes Utility Company,1,59917,30053
Emkayan Village County Water and Sewer District,310,59917,30053
Eureka Town of,183,59917,30053
Johnsons Mobile Home Park,47,59917,30053
Libby City of,414,59917,30053
Pinewood Village,8,59917,30053
Posts Trailer Court,50,59917,30053
Rexford Town of,9,59917,30053
Troy City of,386,59917,30053
Wilderness Plateau Water and Sewer District,32,59917,30053
Union PWS,98,63005,29189
Pacific PWS,174,63005,29189
Festus,1940,63010,29099
Desoto PWS,278,63010,29099
Park Hills PWS,364,63020,29099
Bismarck PWS,14,63036,29187
Bloomsdale PWS,5,63036,29187
Bonne Terre Prison,7,63036,29187
Bonne Terre PWS,309,63036,29187
Desloge PWS,83,63036,29187
Farmington Manor,171,63036,29187
Lake Forest Estates,4,63036,29187
Lake Seven Falls Association Inc.,94,63036,29187
Pilot Knob Rural Water District 1 Doe Run Area,171,63036,29187
St. Francois County Public Water Supply District 1,205,63036,29187
Terre Du Lac,200,63036,29187
Terrisan,1015,63044,29189
Anthonies Mill Resort Subdivision,3,63071,29221
Caledonia PWS,5,63071,29221
Grandview Plaza Mobile Home Park,423,63071,29221
Irondale PWS,13,63071,29221
Mineral Point PWS,174,63071,29221
Potosi East,0,63071,29221
Potosi PWS,42,63071,29221
The Legacy Ranch,1102,63071,29221
Franklin County Public Water Supply District 1,101,63080,29071
Cuba PWS,2,63080,29071
Indian Hills Utilities Operating Company Inc.,2,63080,29071
New Haven PWS,1,63080,29071
St. Louis City,1282,63103,29510
Weldon Spring Heights Village PWS,62,63304,29183
Bowling Green PWS,3,63330,29163
Clarksville PWS,171,63330,29163
Curryville PWS,1480,63330,29163
Frankford PWS,2171,63330,29163
Louisiana PWS,2154,63330,29163
Montgomery City PWS,437,63333,29139
Moscow Mills PWS,423,63333,29139
Elsberry PWS,512,63333,29139
Audrain County Public Water Supply District 1,1019,63345,29007
Farber PWS,1196,63345,29007
Laddonia PWS,41,63345,29007
Martinsburg PWS,651,63345,29007
Mo American Mexico,449,63345,29007
Vandalia PWS,1996,63345,29007
Allen Acres,64,63347,29113
Bennington Estates,61,63347,29113
Brook Hill Subdivision,41,63347,29113
Buelah Land Estates,27,63347,29113
Champion Farms Subdivision,330,63347,29113
Deer Valley Subdivision,31,63347,29113
Elsberry Health Care Center,23,63347,29113
Emerald Green Estates,144,63347,29113
Fawn Lakes,53,63347,29113
Glen Meadows,80,63347,29113
Hawk Point PWS,806,63347,29113
Hometown Court,30,63347,29113
Lake Forest Subdivision,10,63347,29113
Majestic Lakes,108,63347,29113
Pine Lake Estates,109,63347,29113
Rockport Subdivision,21,63347,29113
Silex PWS,162,63347,29113
Summerhaven Subdivision,75,63347,29113
Summers Crossing Subdivision,34,63347,29113
Tara Valley Homeowners Association,82,63347,29113
Westmier Subdivision,54,63347,29113
Winfield PWS,238,63347,29113
Warrenton PWS,708,63348,29183
St Charles Co. PWSD #2 Wright City,291,63348,29183
Bellflower PWS,106,63350,29139
High Hill PWS,61,63350,29139
Jonesburg PWS,127,63350,29139
Middletown PWS,71,63350,29139
New Florence PWS,32,63350,29139
Rhineland PWS,1,63350,29139
Roy L Utilities,88,63350,29139
Wellsville PWS,1434,63350,29139
Cedar Grove Village Subdivision,72,63351,29219
Country Cove,58,63351,29219
Glenbrook Estates,24,63351,29219
Innsbrook,117,63351,29219
Lake Sherwood Subdivision,79,63351,29219
Marthasville PWS,215,63351,29219
Pleasant Oak Mobile Home Park,61,63351,29219
Truesdale PWS,459,63351,29219
Valley Lake Estates,56,63351,29219
Cannon Public Water Supply District 1,1437,63352,29007
New London PWS,1444,63352,29007
Perry PWS,1334,63352,29007
Ralls County Public Water Supply District 1,1866,63352,29007
Auxvasse PWS,133,63361,29139
Callaway 2 Water District,98,63361,29139
Callaway County Public Water Supply District 1,67,63361,29139
Hatton Hills Mobile Home Park,43,63361,29139
Kingdom City PWS,43,63361,29139
Mokane Water Co-op,1,63361,29139
New Bloomfield PWS,137,63361,29139
Riverview Nursing Center,0,63361,29139
Wildwood Lot Owners Association,126,63361,29139
St. Paul,409,63366,29183
Wentzville,1410,63367,29183
Ecm Water & Sewer Authority - Flint Hill,579,63385,29183
Hannibal,2533,63401,29127
Palmyra PWS,776,63401,29127
Clark County Cons Public Water Supply District 1,229,63430,29045
Kahoka Public Works PWS,485,63430,29045
Wayland PWS,277,63430,29045
Wyaconda PWS,409,63430,29045
Atlanta PWS,1223,63431,29121
Bevier PWS,1534,63431,29121
Callao PWS,1883,63431,29121
Elmer PWS,1598,63431,29121
Laplata PWS,1958,63431,29121
Macon County PWSD 1,1683,63431,29121
Macon PWS,1079,63431,29121
Memphis PWS,1477,63432,29199
Scotland County Cons Public Water Supply District 1,1729,63432,29199
Clarence PWS,1545,63434,29205
Hunnewell PWS,1471,63434,29205
Shelbina PWS,1472,63434,29205
Shelby County Public Water Supply District 1,1474,63434,29205
Shelbyville PWS,1417,63434,29205
Canton PWS,1728,63435,29111
La Belle PWS,1464,63435,29111
Lagrange PWS,1716,63435,29111
Lewis County Public Water Supply District 1,1470,63435,29111
Lewistown PWS,1434,63435,29111
Clarence Cannon Wholesale Water Commission,1143,63437,29205
Madison PWS,1346,63437,29205
Monroe City PWS,1550,63437,29205
Paris PWS,1389,63437,29205
Edina PWS,1501,63446,29103
Knox County Public Water & Sewer District 1,1483,63446,29103
Adair County Public Water Supply District 1,3703,63501,29001
Brashear PWS,1956,63501,29001
Kirksville,1701,63501,29001
Novinger PWS,1918,63501,29001
Clark PWS,37,63534,29121
Higbee PWS,1418,63534,29121
Huntsville PWS,1427,63534,29121
Moberly,2127,63534,29121
Thomas Hill PWSD 1,1490,63534,29121
Downing PWS,1499,63535,29197
Glenwood PWS,1375,63535,29197
Lake Thunderhead,2478,63535,29197
Lancaster PWS,1625,63535,29197
Putnam County Public Water Supply District 1,1972,63535,29197
Schuyler County Consolidated Public Water Supply District 1,1676,63535,29197
Unionville PWS,1585,63535,29197
Green Castle PWS,1487,63544,29001
Green City PWS,1529,63544,29001
Humphreys PWS,1433,63544,29001
Milan PWS,1603,63544,29001
Newtown PWS,1668,63544,29001
North Central Mo Regional Water Commission,1325,63544,29001
Brookfield PWS,1262,63557,29115
Browning PWS,1511,63557,29115
Bucklin PWS,1227,63557,29115
Chariton Linn County Public Water Supply District 3,1413,63557,29115
Laclede PWS,1398,63557,29115
Linn County Cons Public Water Supply District 1,2406,63557,29115
Linneus PWS,1562,63557,29115
Marceline PWS,1265,63557,29115
Meadville PWS,1426,63557,29115
Chariton County Public Water Supply District 2,1168,63558,29121
Keytesville PWS,1878,63558,29121
Mendon PWS,1119,63558,29121
Salisbury PWS,1820,63558,29121
Annapolis PWS,1363,63620,29093
Arcadia PWS,676,63620,29093
Baptist Home,212,63620,29093
Belleview Valley Nursing Home,139,63620,29093
Centerville PWS,38,63620,29093
Ellington PWS,86,63620,29093
Fredericktown PWS,1798,63620,29093
IL American - Alton,1805,63620,29093
IL American-granite City,1379,63620,29093
Ironton PWS,1043,63620,29093
Killarney Shores Subdivision,127,63620,29093
Marquand PWS,1350,63620,29093
Pilot Knob PWS,306,63620,29093
Reynolds County Public Water Supply District 1,323,63620,29093
Viburnum PWS,434,63620,29093
Birch Tree PWS,321,63629,29203
Bunker PWS,2,63629,29203
Dent County Public Water Supply District 1,4,63629,29203
Eminence PWS,190,63629,29203
Salem PWS,37,63629,29203
Winona PWS,7,63629,29203
Corner Water Company,2,63636,29093
Greenville PWS,2,63636,29093
Johns Branch Water Company,1,63636,29093
Lost Creek Water Company,1,63636,29093
Mill Spring PWS,266,63636,29093
Missionary Acres,1,63636,29093
Piedmont PWS,253,63636,29093
Pine Trails Water Company,2,63636,29093
Ridgetop Waterworks Corporation Subdivision,64,63636,29093
Wayne & Butler Counties Public Water Supply District 4,6,63636,29093
Wayne County Public Water Supply District 2,482,63636,29093
Williamsville PWS,24,63636,29093
Bollinger County Public Water Supply District 1,110,63645,29123
Dianas Boarding Home 2,51,63645,29123
Marble Hill North PWS,249,63645,29123
Marble Hill South PWS,84,63645,29123
Sedgewickville PWS,281,63645,29123
Altenburg PWS,134,63673,29186
Farrar Water Association,84,63673,29186
Frohna PWS,85,63673,29186
Lake Kah Tan Da Estates Inc.,1,63673,29186
Perryville PWS,1360,63673,29186
Port Perry Service,28,63673,29186
S K & M Water Company Inc.,378,63673,29186
St. Marys Seminary,1118,63673,29186
Cape Girardeau,1335,63701,29031
Cape Girardeau County Public Water Supply District 2,345,63701,29031
Cape Perry County Public Water Supply District 1 South,1864,63701,29031
Carolina Oaks Plantation,4,63701,29031
Delta PWS,180,63701,29031
Enclave Apts & Affordable Mini Storage,7,63701,29031
Hidden Valley Fishing Club,4,63701,29031
Hillcrest Utility Operating Company Inc.,24,63701,29031
Mid America Teen Challenge,134,63701,29031
North Hills Estates,60,63701,29031
Royal Lake Estates,31,63701,29031
Upper Bend Road Subdivision,1,63701,29031
Westlake Meadows Subdivision,399,63701,29031
Whitewater Allenville PWS,104,63701,29031
Windwood Estates Subd,166,63701,29031
Dexter PWS,674,63730,29207
Stoddard County Public Water Supply District 1,3977,63730,29207
Sikeston,807,63735,29207
Scott City PWS,1027,63735,29207
Chaffee PWS,844,63735,29207
Benton PWS,15,63736,29201
Blodgett PWS,1432,63736,29201
Haywood City PWS,685,63736,29201
Kelso PWS,7,63736,29201
Miner PWS,1010,63736,29201
Morley PWS,291,63736,29201
New Hamburg Central,46,63736,29201
New Hamburg South End,34,63736,29201
Oran PWS,84,63736,29201
Vanduser PWS,1215,63736,29201
Advance PWS,1442,63738,29207
Bell City PWS,203,63738,29207
Bernie PWS,519,63738,29207
Bloomfield PWS,603,63738,29207
Dudley PWS,757,63738,29207
Essex PWS,338,63738,29207
Puxico PWS,225,63738,29207
U.S. Army Corps of Engineers Mingo Job Corps Center,20,63738,29207
Portageville PWS,877,63801,29201
Anniston PWS,1167,63820,29133
Bertrand PWS,686,63820,29133
Charleston PWS,739,63820,29133
East Prairie PWS,732,63820,29133
Mississippi County Public Water Supply District 1,466,63820,29133
Wyatt PWS,338,63820,29133
Arbyrd PWS,169,63821,29069
Campbell PWS,17,63821,29069
Cardwell PWS,735,63821,29069
Clarkton PWS,180,63821,29069
Dunklin County Public Water Supply District 1,0,63821,29069
Holcomb PWS,2,63821,29069
Hornersville PWS,2270,63821,29069
Kennett,1190,63821,29069
Malden PWS,466,63821,29069
Senath PWS,238,63821,29069
Caruthersville PWS,27,63826,29155
Hayti Heights PWS,752,63826,29155
Hayti PWS,16,63826,29155
Holland PWS,92,63826,29155
Pemiscot County Con Public Water Supply District 1,216,63826,29155
Steele PWS,202,63826,29155
Wardell PWS,118,63826,29155
Gideon PWS,230,63828,29143
Lilbourn PWS,1040,63828,29143
Marston PWS,622,63828,29143
Matthews PWS,583,63828,29143
Morehouse PWS,1111,63828,29143
New Madrid County Public Water Supply District # 6,3647,63828,29143
New Madrid PWS,1005,63828,29143
Parma PWS,732,63828,29143
Risco PWS,126,63828,29143
Butler County Public Water Supply District 1,21,63901,29023
Camelot Estates Mobile Home Park,6,63901,29023
Clets Trailer Park,10,63901,29023
Fisk PWS,1328,63901,29023
Lakeland Heights Water Company,283,63901,29023
Neelyville PWS,54,63901,29023
Oakbrier Estates,1,63901,29023
Poplar Bluff,2324,63901,29023
Qulin PWS,346,63901,29023
W E Sears Youth Center,8,63901,29023
Alton PWS,6,63935,29181
Carter County Public Water Supply District 1,12,63935,29181
Deer Run Reorganized Common Sewer District,126,63935,29181
Doniphan PWS,168,63935,29181
Ellsinore PWS,4,63935,29181
Grandin PWS,22,63935,29181
Koshkonong PWS,255,63935,29181
Naylor PWS,407,63935,29181
Ripley County Public Water Supply District 1 East,213,63935,29181
Thayer PWS,45,63935,29181
Van Buren PWS,138,63935,29181
Alma PWS,1649,64001,29107
Bates City PWS,140,64001,29107
Concordia PWS,1871,64001,29107
Emma PWS,1892,64001,29107
Higginsville PWS,1681,64001,29107
Lafayette County Public Water Supply District 1,341,64001,29107
Lake Lafayette PWS,163,64001,29107
Lexington PWS,2049,64001,29107
Mayview PWS,1922,64001,29107
Odessa PWS,2364,64001,29107
Waverly PWS,3654,64001,29107
Wellington PWS,151,64001,29107
Centerview PWS,138,64011,29107
Chilhowee PWS,243,64011,29107
Holden PWS,1612,64011,29107
Kingsville PWS,343,64011,29107
Knob Noster PWS,46,64011,29107
Leeton PWS,100,64011,29107
M & M Mobile Home Park,75,64011,29107
Pembrooke Park,317,64011,29107
Whiteman Air Base,243,64011,29107
Archie PWS,2558,64012,29037
Belton,1012,64012,29037
Cass County Public Water Supply District 1,5001,64012,29037
Creighton PWS,367,64012,29037
Crown Mobile Home Park,1013,64012,29037
Drexel PWS,645,64012,29037
East Lynne PWS,630,64012,29037
Freeman PWS,1909,64012,29037
Garden City PWS,2124,64012,29037
Harrisonville PWS,694,64012,29037
Lake Winnebago PWS,565,64012,29037
Nw Cass County Sewer & Water District,945,64012,29037
Peculiar PWS,865,64012,29037
Pickering Place,532,64012,29037
Raymore,896,64012,29037
Southfork Mobile Home Park,951,64012,29037
Springdale Lake Estates,909,64012,29037
Blue Springs,722,64014,29095
Buckner PWS,288,64014,29095
Grain Valley,435,64014,29095
Highland Manor,271,64014,29095
Independence,201,64014,29095
Jackson County Public Water Supply District 12,1540,64014,29095
Lake Tapawingo PWS,286,64014,29095
Lees Summit,499,64014,29095
Levasy PWS,116,64014,29095
Oak Grove PWS,288,64014,29095
Raytown Water Company,813,64014,29095
Sibley PWS,113,64014,29095
Sugar Creek PWS,279,64014,29095
Hardin PWS,1574,64017,29177
Henrietta PWS,1641,64017,29177
Orrick PWS,1496,64017,29177
Ray County Public Water Supply District 1,4730,64017,29177
Richmond PWS,1843,64017,29177
