Utility name,City,People served,Zip
Lyon-sioux Rural Water System-rock Rapids,Rock Rapids,"Population served: 1,067",57005
Rock Rapids Municipal Water Works,Rock Rapids,"Population served: 2,574",57005
Bridgewater,Bridgewater,Population served: 492,57012
Canistota,Canistota,Population served: 656,57012
Montrose,Montrose,Population served: 483,57012
Salem,Salem,"Population served: 1,347",57012
Spencer,Spencer,Population served: 154,57012
Centerville,Centerville,Population served: 882,57014
Chancellor,Chancellor,Population served: 264,57014
Hurley,Hurley,Population served: 415,57014
Marion,Marion,Population served: 784,57014
Parker,Parker,"Population served: 1,022",57014
Viborg,Viborg,Population served: 782,57014
Chester Sanitary District,Egan,Population served: 363,57016
Kingbrook III Rural Water System,Arlington,"Population served: 2,738",57016
Madison,Madison,"Population served: 6,474",57016
Nunda,Nunda,Population served: 43,57016
Ramona,Ramona,Population served: 174,57016
Wentworth,Egan,Population served: 171,57016
Lincoln-pipestone Rural Water System,"Lake Benton, MN","Population served:13,644",57026
Pipestone,"Pipestone, MN","Population served:4,273",57026
Freeman,Freeman,"Population served: 1,306",57029
Menno,Menno,Population served: 608,57029
Parkston,Parkston,"Population served: 1,508",57029
Tripp,Tripp,Population served: 647,57029
Beaver Creek,Beaver Creek,Population served: 297,57030
Hardwick,Hardwick,Population served: 198,57030
Hills,Hills,Population served: 685,57030
Kenneth,Kenneth,Population served: 56,57030
Luverne,Luverne,"Population served: 4,688",57030
Magnolia,Magnolia,Population served: 214,57030
Rock County Rural Water System,Luverne,"Population served: 2,256",57030
Steen,Steen,Population served: 180,57030
Country Acres Mobile Home Park,Yankton,Population served: 70,57031
East Winds Court Inc.,Mission Hill,Population served: 180,57031
Gayville,Gayville,Population served: 407,57031
Lesterville,Lesterville,Population served: 127,57031
Mission Hill,Mission Hill,Population served: 177,57031
Northern Lights Mobile Home Park,Yankton,Population served: 57,57031
Timberland Park,Yankton,Population served: 140,57031
Utica,Utica,Population served: 65,57031
Volin,Volin,Population served: 161,57031
Yankton,Yankton,"Population served: 14,700",57031
Alton Municipal Water Department,Alton,"Population served: 1,246",57034
Boyden Municipal Water Supply,Boyden,Population served: 712,57034
Granville Water Supply,Granville,Population served: 314,57034
Hawarden Water Supply,Hawarden,"Population served: 2,546",57034
Hospers Municipal Water Department,Hospers,Population served: 706,57034
Hull Water Supply,Hull,"Population served: 2,185",57034
Ireton Water Supply,Ireton,Population served: 615,57034
Matlock Water Supply,Rock Rapids,Population served: 87,57034
Maurice Municipal Water Supply,Maurice,Population served: 275,57034
Orange City Municipal Water Department,Orange City,"Population served: 6,004",57034
Rock Valley Rural Water District,Rock Valley,"Population served: 2,165",57034
Rock Valley Water Supply,Rock Valley,"Population served: 3,354",57034
Rural Water System #1,Hospers,"Population served: 3,237",57034
Sioux Center Municipal Water Department,Sioux Center,"Population served: 7,050",57034
Southern Sioux County Rural Water,Ireton,"Population served: 4,542",57034
Avon,Avon,Population served: 590,57040
Maxwell Colony,Scotland,Population served: 200,57040
Scotland,Scotland,Population served: 841,57040
Springfield,Springfield,"Population served: 1,989",57040
Tabor,Tabor,Population served: 423,57040
Tyndall,Tyndall,"Population served: 1,067",57040
Arlington,Arlington,Population served: 915,57051
Badger,Badger,Population served: 107,57051
Canova,Canova,Population served: 105,57051
Desmet,Desmet,"Population served: 1,089",57051
Howard,Howard,Population served: 858,57051
Kingbrook II Rural Water System,Arlington,"Population served: 2,898",57051
Lake Preston,Lake Preston,Population served: 599,57051
Oldham,Oldham,Population served: 133,57051
Spring Lake Colony,Arlington,Population served: 120,57051
Bryant,Bryant,Population served: 456,57201
Castlewood,Castlewood,Population served: 627,57201
Estelline,Estelline,Population served: 768,57201
Florence,Florence,Population served: 374,57201
Hayti,Hayti,Population served: 381,57201
Henry,Henry,Population served: 297,57201
Lake Norden,Lake Norden,Population served: 467,57201
Pelican Plaza,Watertown,Population served: 100,57201
South Shore,South Shore,Population served: 180,57201
Wallace,Wallace,Population served: 78,57201
Watertown Municipal Utilities,Watertown,"Population served: 21,482",57201
Clear Lake,Clear Lake,"Population served: 1,273",57213
Gary,Gary,Population served: 227,57213
Big Stone City,Big Stone City,Population served: 467,57216
Corona,Corona,Population served: 109,57216
Marvin,South Shore,Population served: 34,57216
Milbank,Milbank,"Population served: 3,353",57216
New Effington,New Effington,Population served: 256,57216
Peever,Britton,Population served: 168,57216
Rosholt,Rosholt,Population served: 408,57216
Sisseton,Sisseton,"Population served: 2,470",57216
Summit,Summit,Population served: 288,57216
White Rock Colony,Rosholt,Population served: 100,57216
Wilmot,Wilmot,Population served: 492,57216
Bradley,Redfield,Population served: 72,57217
Clark,Clark,"Population served: 1,189",57217
Collins Colony,Iroquois,Population served: 92,57217
Fordham Colony,Carpenter,Population served: 101,57217
Garden City,Garden City,Population served: 53,57217
Raymond,Raymond,Population served: 50,57217
Shamrock Colony,Carpenter,Population served: 75,57217
Willow Lake,Willow Lake,Population served: 285,57217
Bristol,Bristol,Population served: 341,57219
Grenville,Grenville,Population served: 54,57219
Pierpont,Pierpont,Population served: 135,57219
Roslyn,Roslyn,Population served: 183,57219
Waubay,Waubay,Population served: 576,57219
Webster,Webster,"Population served: 1,886",57219
Amherst Water Company,Britton,Population served: 35,57232
Britton,Britton,"Population served: 1,241",57232
Eden,Eden,Population served: 89,57232
Lake City,Britton,Population served: 51,57232
Langford,Langford,Population served: 313,57232
Newport Colony,Claremont,Population served: 116,57232
Sunset Colony,Britton,Population served: 140,57232
Veblen,Veblen,Population served: 526,57232
Brentford,Brentford,Population served: 90,57258
Camrose Colony,Frankfort,Population served: 25,57258
Conde,Aberdeen,Population served: 135,57258
Doland,Doland,Population served: 180,57258
Glendale Colony,Frankfort,Population served: 84,57258
Mellette,Redfield,Population served: 248,57258
Northville,Northville,Population served: 143,57258
Redfield,Redfield,"Population served: 2,333",57258
Spink Colony,Frankfort,Population served: 100,57258
Tulare,Tulare,Population served: 217,57258
"Abercrombie, City of",Abercrombie,Population served: 263,57260
"Barney, City of",Barney,Population served: 52,57260
"Christine, City of",Christine,Population served: 156,57260
"Colfax, City of",Colfax,Population served: 121,57260
"Fairmount, City of",Fairmount,Population served: 367,57260
"Hankinson, City of",Hankinson,Population served: 919,57260
"Lidgerwood, City of",Lidgerwood,Population served: 652,57260
"Mantador, City of",Mantador,Population served: 64,57260
"Mooreton, City of",Mooreton,Population served: 197,57260
Southeast Wud (east),Mantador,"Population served: 4,225",57260
"Wahpeton, City of",Wahpeton,"Population served: 7,766",57260
"Walcott, City of",Walcott,Population served: 235,57260
"Wyndmere, City of",Wyndmere,Population served: 429,57260
"Forman, City of",Forman,Population served: 504,57270
"Gwinner, City of",Gwinner,Population served: 753,57270
"Milnor, City of",Milnor,Population served: 653,57270
"Rutland, City of",Rutland,Population served: 163,57270
Sundale Hutterian Association,Milnor,Population served: 110,57270
Alexandria,Alexandria,Population served: 615,57301
Emery,Emery,Population served: 447,57301
Ethan,Ethan,Population served: 331,57301
Mitchell,Mitchell,"Population served: 15,254",57301
Mount Vernon,Mount Vernon,Population served: 462,57301
Alpena,Alpena,Population served: 286,57312
Hitchcock,Hitchcock,Population served: 91,57312
Huron,Huron,"Population served: 12,592",57312
Huron Colony,Huron,Population served: 90,57312
Letcher,Letcher,Population served: 190,57312
Pearl Creek Colony,Iroquois,Population served: 94,57312
Riverside Colony,Huron,Population served: 80,57312
Sanborn Central School District,Forestburg,Population served: 219,57312
Upland Colony,Artesian,Population served: 120,57312
Wessington Springs,Wessington Springs,Population served: 956,57312
Wolsey,Wolsey,Population served: 376,57312
Woonsocket,Woonsocket,Population served: 655,57312
Armour,Armour,Population served: 699,57313
Clearfield Colony,Delmont,Population served: 96,57313
Corsica,Corsica,Population served: 592,57313
Delmont,Delmont,Population served: 234,57313
Geddes,Lake Andes,Population served: 208,57313
Greenwood Colony,Delmont,Population served: 80,57313
Lake Andes,Lake Andes,Population served: 879,57313
Lakeview Colony,Lake Andes,Population served: 180,57313
Pickstown,Pickstown,Population served: 201,57313
Platte,Platte,"Population served: 1,230",57313
Randall Community Water District,Lake Andes,"Population served: 4,238",57313
Wagner,Wagner,"Population served: 1,566",57313
Bonesteel,Bonesteel,Population served: 275,57317
Burke,Burke,Population served: 604,57317
Dallas,Dallas,Population served: 120,57317
Gregory,Gregory,"Population served: 1,295",57317
Chamberlain,Chamberlain,"Population served: 2,387",57325
Kimball,Kimball,Population served: 703,57325
Pukwana,Chamberlain,Population served: 285,57325
Plankinton,Plankinton,Population served: 726,57328
Stickney,Stickney,Population served: 284,57328
White Lake,White Lake,Population served: 372,57328
Blumengard Colony,Faulkton,Population served: 108,57345
Brentwood Colony,Faulkton,Population served: 110,57345
Cresbard,Wecota,Population served: 104,57345
Evergreen Colony,Faulkton,Population served: 106,57345
Faulkton,Faulkton,Population served: 736,57345
Highmore,Highmore,Population served: 795,57345
Miller,Miller,"Population served: 1,489",57345
Ree Heights,Ree Heights,Population served: 79,57345
Saint Lawrence,Miller,Population served: 198,57345
Seneca,Seneca,Population served: 38,57345
Sunshine Bible Academy,Miller,Population served: 140,57345
Kennebec,Kennebec,Population served: 240,57365
Oacoma,Oacoma,Population served: 451,57365
Presho,Presho,Population served: 497,57365
Aberdeen,Aberdeen,"Population served: 26,091",57401
Claremont,Britton,Population served: 127,57401
Country Village Park,Aberdeen,Population served: 340,57401
Frederick,Frederick,Population served: 215,57401
Grassland Colony,Westport,Population served: 147,57401
Green Acres Association,Bath,Population served: 75,57401
Groton,Groton,"Population served: 1,458",57401
Hecla,Hecla,Population served: 227,57401
Hutterville Hutterian Brethren,Stratford,Population served: 130,57401
Jobee Acres,Aberdeen,Population served: 75,57401
Lakeside Estates,Aberdeen,Population served: 625,57401
Long Lake Colony,Westport,Population served: 95,57401
Northwood First Subdivision,Aberdeen,Population served: 55,57401
Pleasant Valley Estates,Aberdeen,Population served: 105,57401
Prairiewood Property Owners,Aberdeen,Population served: 288,57401
Richmond Heights Homeowners Association,Aberdeen,Population served: 63,57401
Rolling Meadows,Aberdeen,Population served: 78,57401
Stratford,Aberdeen,Population served: 72,57401
The Meadows,Aberdeen,Population served: 80,57401
Warner,Warner,Population served: 496,57401
Westport Sanitary District,Aberdeen,Population served: 125,57401
Java,Java,Population served: 129,57420
Mobridge,Mobridge,"Population served: 3,465",57420
Selby,Selby,Population served: 642,57420
Bowdle,Bowdle,Population served: 484,57428
Deerfield Colony,Ipswich,Population served: 120,57428
Hosmer,Hosmer,Population served: 208,57428
Ipswich,Ipswich,Population served: 954,57428
Mina Lake Sanitary District,Aberdeen,Population served: 838,57428
Roscoe,Roscoe,Population served: 329,57428
"Ashley, City of",Ashley,Population served: 749,57437
Eureka,Eureka,Population served: 868,57437
Herreid,Herreid,Population served: 438,57437
"Lehr, City of",Lehr,Population served: 80,57437
Leola,Leola,Population served: 457,57437
Pollock,Pollock,Population served: 241,57437
"Wishek, City of",Wishek,Population served: 952,57437
"Zeeland, City of",Zeeland,Population served: 86,57437
"Ellendale, City of",Ellendale,"Population served: 1,394",57441
"Forbes, City of",Forbes,Population served: 53,57441
"Fullerton, City of",Oakes,Population served: 54,57441
Maple River Hutterian Association,Fullerton,Population served: 140,57441
"Monango, City of",Monango,Population served: 36,57441
"Oakes, City of",Oakes,"Population served: 1,856",57441
Southeast Wud (west),Mantador,"Population served: 1,275",57441
Gettysburg,Gettysburg,"Population served: 1,162",57442
Hoven,Hoven,Population served: 406,57442
Onida,Onida,Population served: 658,57442
Tolstoy,Tolstoy,Population served: 36,57442
Blunt,Pierre,Population served: 354,57501
Oahe Acres,Pierre,Population served: 93,57501
Pierre,Pierre,"Population served: 13,646",57501
Spring Creek Sanitary District,Pierre,Population served: 380,57501
Kadoka,Kadoka,Population served: 654,57521
Long Valley Elementary School,Kadoka,Population served: 48,57521
Colome,Colome,Population served: 296,57528
Winner,Winner,"Population served: 3,100",57528
Murdo,Murdo,Population served: 488,57531
Fort Pierre,Fort Pierre,"Population served: 2,200",57532
Wr/lj - North Stanley County,Murdo,"Population served: 1,047",57532
Midland,Midland,Population served: 120,57543
Philip,Philip,Population served: 779,57543
Martin,Martin,"Population served: 1,071",57551
Klein School,Mission,Population served: 25,57555
,,Population served: 0,57555
Mcintosh,Mcintosh,Population served: 173,57601
Mclaughlin,Mclaughlin,Population served: 663,57601
Morristown,Morristown,Population served: 55,57601
Bison,Bison,Population served: 333,57620
Lemmon,Lemmon,"Population served: 1,227",57620
Perkins County Rural Water,Bison,Population served: 450,57620
Dupree,Dupree,Population served: 525,57622
Eagle Butte,Eagle Butte,"Population served: 4,000",57623
Isabel,Isabel,Population served: 135,57623
T C & G Rural Water System,Mobridge,Population served: 170,57623
Timber Lake,Timber Lake,Population served: 435,57623
Sturgis,"Sturgis, SD","Population served:6,627",57626
Black Hawk Water User District,"Black Hawk, SD","Population served:3,750",57626
Fort Meade Va Center,"Fort Meade, SD",Population served:800,57626
Piedmont,"Piedmont, SD",Population served:768,57626
"Hague, City of",Bismarck,Population served: 71,57632
"Hazelton, City of",Hazelton,Population served: 235,57632
"Linton, City of",Linton,"Population served: 1,097",57632
South Central Regional Water District-emmons,Bismarck,"Population served: 3,353",57632
State Line Water Coop Inc.,Strasburg,Population served: 405,57632
"Strasburg, City of",Strasburg,Population served: 409,57632
"Hettinger, City of",Hettinger,"Population served: 1,226",57638
"Reeder, City of",Reeder,Population served: 162,57638
"Selfridge, City of",Selfridge,Population served: 160,57641
"Solen, City of",Solen,Population served: 83,57641
"Carson, City of",Carson,Population served: 293,57645
"Elgin, City of",Elgin,Population served: 642,57645
"New Leipzig, City of",New Leipzig,Population served: 221,57645
Buffalo,Buffalo,Population served: 330,57649
Rapid City,"Rapid City, SD","Population served:66,481",57701
Rapid Valley Sanitary District,"Rapid City, SD","Population served:9,075",57701
Box Elder,"Box Elder, SD","Population served:7,800",57701
Ellsworth Air Force Base,"Ellsworth Afb, SD","Population served:6,827",57701
Nps-mount Rushmore National Memorial,"Keystone, SD","Population served:4,100",57701
Chapel Lane Water Company,"Piedmont, SD","Population served:1,200",57701
Colonial Pine Hills Sanitary Distric,"Rapid City, SD","Population served:1,200",57701
Hill City,"Hill City, SD",Population served:950,57701
Wall,"Wall, SD",Population served:766,57703
New Underwood,"New Underwood, SD",Population served:660,57703
Wonderland Homes,"Piedmont, SD",Population served:750,57706
Batesland,Martin,Population served: 108,57716
Spearfish,"Spearfish, SD","Population served:10,697",57717
Belle Fourche,"Belle Fourche, SD","Population served:5,594",57717
Lead,"Lead, SD","Population served:3,292",57717
Deadwood,"Deadwood, SD","Population served:1,270",57717
"Sundance, City Of","Sundance, WY","Population served:1,279",57717
Whitewood,"Whitewood, SD",Population served:927,57717
"Moorcroft, Town Of","Moorcroft, WY","Population served:1,009",57717
Newell,"Newell, SD",Population served:603,57717
"Pine Haven, Town Of","Gillette, WY",Population served:498,57717
Dingerville USA Park,"Souix Falls, SD",Population served:447,57717
Buffalo Gap,Buffalo Gap,Population served: 126,57722
Country Club Estates,Hot Springs,Population served: 83,57722
Csp-game Lodge,Custer,Population served: 751,57722
Custer,Custer,"Population served: 2,067",57722
Edgemont,Hot Springs,Population served: 774,57722
Fairburn Water Association,Fairburn,Population served: 65,57722
Fall River Wud-north,Oral,Population served: 100,57722
Fall River Wud-south,Oral,Population served: 648,57722
Green Acres Estates,Hot Springs,Population served: 31,57722
Heartland Country Ranchettes,Black Hawk,Population served: 95,57722
Hermosa Water Users Association,Hermosa,Population served: 108,57722
Hermosa-old System,Hermosa,Population served: 451,57722
Hot Springs,Hot Springs,"Population served: 3,711",57722
Hot Springs Va Center,Hot Springs,Population served: 445,57722
Laughing Water Restaurant At Crazy H,Crazy Horse,"Population served: 2,055",57722
Merchen's Mobile Home Acres,Hot Springs,Population served: 68,57722
Nps-wind Cave National Park,Hot Springs,Population served: 465,57722
Oelrichs,Oelrichs,Population served: 126,57722
Paramount Point,Hot Springs,Population served: 35,57722
Provo Area Water System,Edgemont,Population served: 42,57722
Spring Creek Acres,Black Hawk,Population served: 80,57722
Star Academy-east Campus,Custer,Population served: 45,57722
Star Academy-main Campus,Custer,Population served: 269,57722
State Veterans Home,Hot Springs,Population served: 205,57722
Triple T Mobile Home Park,Custer,Population served: 74,57722
United Order of South Dakota,Custer,Population served: 75,57722
"Ekalaka, Town of",Ekalaka,Population served: 400,57724
Terry Trojan Water District,"Black Hawk, SD",Population served:400,57732
"Harrison, Village of",Harrison,Population served: 251,57735
Blucksberg Mountain Water Association,"Piedmont, SD",Population served:528,57760
Weston Heights Homeowners Association,"Rapid City, SD",Population served:441,57760
Black Hills Water Distribution LLC,Belle Fourche,Population served: 0,57762
Fruitdale,Fruitdale,Population served: 64,57762
Hay Creek Water Company,Belle Fourche,Population served: 300,57762
Nisland,Nisland,Population served: 232,57762
Riverside Mobile Home Court,Spearfish,Population served: 60,57762
Sandstone Water-west Addition,Belle Fourche,Population served: 300,57762
Vale Sanitary District,Vale,Population served: 120,57762
Wilen Enterprises Water,Belle Fourche,Population served: 0,57762
