Utility,Contaminant,Utility Measuremnt,EWG HEALTH GUIDELINE,Legal Limit
Clay Rural Water System,Total trihalomethanes (TTHMs)†,28.9 ppb,0.15 ppb,80 ppb
Clay Rural Water System,None,,,
Dakota Dunes Cid,Haloacetic acids (HAA5)†,11.0 ppb,0.1 ppb,60 ppb
Dakota Dunes Cid,Nitrate,0.550 ppm,0.14 ppm,10 ppm
Dakota Dunes Cid,Total trihalomethanes (TTHMs)†,39.6 ppb,0.15 ppb,80 ppb
Dakota Dunes Cid,Barium,16.7 ppb,700 ppb,"2,000 ppb"
Dakota Dunes Cid,Chromium (total),1.40 ppb,,100 ppb
Dakota Dunes Cid,Selenium,1.20 ppb,30 ppb,50 ppb
Dakota Dunes Cid,None,,,
Elk Point,Nitrate,0.200 ppm,0.14 ppm,10 ppm
Elk Point,Total trihalomethanes (TTHMs)†,0.242 ppb,0.15 ppb,80 ppb
Elk Point,None,,,
Harrisburg,Bromodichloromethane,8.65 ppb,0.06 ppb,
Harrisburg,Chloroform,10.2 ppb,0.4 ppb,
Harrisburg,Dibromoacetic acid,2.04 ppb,0.04 ppb,
Harrisburg,Dibromochloromethane,5.31 ppb,0.1 ppb,
Harrisburg,Dichloroacetic acid,4.56 ppb,0.2 ppb,
Harrisburg,Haloacetic acids (HAA5)†,10.5 ppb,0.1 ppb,60 ppb
Harrisburg,Total trihalomethanes (TTHMs)†,39.2 ppb,0.15 ppb,80 ppb
Harrisburg,Trichloroacetic acid,3.90 ppb,0.1 ppb,
Harrisburg,Bromoform,0.463 ppb,0.5 ppb,
Harrisburg,Fluoride,1.06 ppm,,4 ppm
Harrisburg,Manganese,3.70 ppb,100 ppb,
Harrisburg,None,,,
City of Hudson Oaks,Arsenic,0.140 ppb,0.004 ppb,10 ppb
City of Hudson Oaks,Bromochloroacetic acid,1.63 ppb,0.02 ppb,
City of Hudson Oaks,Bromodichloromethane,3.20 ppb,0.06 ppb,
City of Hudson Oaks,Bromoform,3.12 ppb,0.5 ppb,
City of Hudson Oaks,Chloroform,1.80 ppb,0.4 ppb,
City of Hudson Oaks,Dibromoacetic acid,2.68 ppb,0.04 ppb,
City of Hudson Oaks,Dibromochloromethane,4.41 ppb,0.1 ppb,
City of Hudson Oaks,Dichloroacetic acid,1.23 ppb,0.2 ppb,
City of Hudson Oaks,Haloacetic acids (HAA5)†,4.84 ppb,0.1 ppb,60 ppb
City of Hudson Oaks,Nitrate,0.670 ppm,0.14 ppm,10 ppm
City of Hudson Oaks,Nitrate and nitrite,0.604 ppm,0.14 ppm,10 ppm
City of Hudson Oaks,"Radium, combined (-226 &amp; -228)",2.21 pCi/L,0.05 pCi/L,5 pCi/L
City of Hudson Oaks,Total trihalomethanes (TTHMs)†,17.0 ppb,0.15 ppb,80 ppb
City of Hudson Oaks,Trichloroacetic acid,0.229 ppb,0.1 ppb,
City of Hudson Oaks,Uranium,2.00 pCi/L,0.43 pCi/L,20 pCi/L
City of Hudson Oaks,Acetone,0.724 ppb,,
City of Hudson Oaks,Aluminum,6.36 ppb,600 ppb,
City of Hudson Oaks,Antimony,0.0200 ppb,1 ppb,6 ppb
City of Hudson Oaks,Barium,111.0 ppb,700 ppb,"2,000 ppb"
City of Hudson Oaks,Chromium (total),2.29 ppb,,100 ppb
City of Hudson Oaks,Di(2-ethylhexyl) phthalate,2.41 ppb,3 ppb,6 ppb
City of Hudson Oaks,Ethylbenzene,0.0348 ppb,300 ppb,700 ppb
City of Hudson Oaks,Fluoride,0.174 ppm,,4 ppm
City of Hudson Oaks,Manganese,5.96 ppb,100 ppb,
City of Hudson Oaks,Methyl ethyl ketone,0.261 ppb,,
City of Hudson Oaks,Monobromoacetic acid,0.0917 ppb,25 ppb,
City of Hudson Oaks,Monochloroacetic acid,0.617 ppb,53 ppb,
City of Hudson Oaks,Picloram,0.00780 ppb,166 ppb,500 ppb
City of Hudson Oaks,Selenium,0.220 ppb,30 ppb,50 ppb
City of Hudson Oaks,Xylenes (total),0.248 ppb,"1,800 ppb","10,000 ppb"
City of Hudson Oaks,None,,,
Aqua Ohio - Village Of Jefferson,Bromodichloromethane,11.8 ppb,0.06 ppb,
Aqua Ohio - Village Of Jefferson,Chloroform,34.7 ppb,0.4 ppb,
Aqua Ohio - Village Of Jefferson,Chromium (hexavalent)*,0.126 ppb,0.02 ppb,
Aqua Ohio - Village Of Jefferson,Dibromoacetic acid,0.485 ppb,0.04 ppb,
Aqua Ohio - Village Of Jefferson,Dibromochloromethane,3.28 ppb,0.1 ppb,
Aqua Ohio - Village Of Jefferson,Dichloroacetic acid,18.1 ppb,0.2 ppb,
Aqua Ohio - Village Of Jefferson,Haloacetic acids (HAA5)†,38.0 ppb,0.1 ppb,60 ppb
Aqua Ohio - Village Of Jefferson,Haloacetic acids (HAA9)*†,55.0 ppb,0.06 ppb,
Aqua Ohio - Village Of Jefferson,Total trihalomethanes (TTHMs)†,49.8 ppb,0.15 ppb,80 ppb
Aqua Ohio - Village Of Jefferson,Trichloroacetic acid,17.5 ppb,0.1 ppb,
Aqua Ohio - Village Of Jefferson,Barium*,19.6 ppb,700 ppb,"2,000 ppb"
Aqua Ohio - Village Of Jefferson,Bromoform,0.0447 ppb,0.5 ppb,
Aqua Ohio - Village Of Jefferson,Chlorate*,184.0 ppb,210 ppb,
Aqua Ohio - Village Of Jefferson,Chromium (total)*,1.05 ppb,,100 ppb
Aqua Ohio - Village Of Jefferson,Fluoride*,0.899 ppm,,4 ppm
Aqua Ohio - Village Of Jefferson,Manganese*,4.23 ppb,100 ppb,
Aqua Ohio - Village Of Jefferson,Molybdenum*,1.24 ppb,40 ppb,
Aqua Ohio - Village Of Jefferson,Monobromoacetic acid,0.291 ppb,25 ppb,
Aqua Ohio - Village Of Jefferson,Monochloroacetic acid,1.53 ppb,53 ppb,
Aqua Ohio - Village Of Jefferson,Nitrate*,0.0786 ppm,0.14 ppm,10 ppm
Aqua Ohio - Village Of Jefferson,Strontium*,0.158 ppb,"1,500 ppb",
Aqua Ohio - Village Of Jefferson,Vanadium*,0.216 ppb,21 ppb,
Lennox,Haloacetic acids (HAA5)†,13.3 ppb,0.1 ppb,60 ppb
Lennox,Total trihalomethanes (TTHMs)†,27.9 ppb,0.15 ppb,80 ppb
North Sioux City,Haloacetic acids (HAA5)†,6.52 ppb,0.1 ppb,60 ppb
North Sioux City,"Radium, combined (-226 &amp; -228)",0.38 pCi/L,0.05 pCi/L,5 pCi/L
North Sioux City,Total trihalomethanes (TTHMs)†,8.66 ppb,0.15 ppb,80 ppb
North Sioux City,None,,,
Alpat Water-homestead Div.,Bromodichloromethane,1.10 ppb,0.06 ppb,
Alpat Water-homestead Div.,Chloroform,1.93 ppb,0.4 ppb,
Alpat Water-homestead Div.,Dibromochloromethane,1.27 ppb,0.1 ppb,
Alpat Water-homestead Div.,Haloacetic acids (HAA9)†,1.81 ppb,0.06 ppb,
Alpat Water-homestead Div.,Nitrate,7.26 ppm,0.14 ppm,10 ppm
Alpat Water-homestead Div.,Nitrate and nitrite,7.32 ppm,0.14 ppm,10 ppm
Alpat Water-homestead Div.,"Radium, combined (-226 &amp; -228)",0.55 pCi/L,0.05 pCi/L,5 pCi/L
Alpat Water-homestead Div.,Total trihalomethanes (TTHMs)†,5.33 ppb,0.15 ppb,80 ppb
Alpat Water-homestead Div.,Barium,9.00 ppb,700 ppb,"2,000 ppb"
Alpat Water-homestead Div.,Bromoform,0.170 ppb,0.5 ppb,
Alpat Water-homestead Div.,Chromium (total),2.20 ppb,,100 ppb
Alpat Water-homestead Div.,None,,,
Aqua Ohio - Worthington Hills Public Water System,Bromodichloromethane,3.43 ppb,0.06 ppb,
Aqua Ohio - Worthington Hills Public Water System,Bromoform,1.70 ppb,0.5 ppb,
Aqua Ohio - Worthington Hills Public Water System,Chloroform,2.13 ppb,0.4 ppb,
Aqua Ohio - Worthington Hills Public Water System,Dibromoacetic acid,0.333 ppb,0.04 ppb,
Aqua Ohio - Worthington Hills Public Water System,Dibromochloromethane,3.83 ppb,0.1 ppb,
Aqua Ohio - Worthington Hills Public Water System,Dichloroacetic acid,0.475 ppb,0.2 ppb,
Aqua Ohio - Worthington Hills Public Water System,Haloacetic acids (HAA5)†,1.08 ppb,0.1 ppb,60 ppb
Aqua Ohio - Worthington Hills Public Water System,Total trihalomethanes (TTHMs)†,11.1 ppb,0.15 ppb,80 ppb
Aqua Ohio - Worthington Hills Public Water System,Barium,45.0 ppb,700 ppb,"2,000 ppb"
Aqua Ohio - Worthington Hills Public Water System,Fluoride,1.01 ppm,,4 ppm
Aqua Ohio - Worthington Hills Public Water System,Monochloroacetic acid,0.267 ppb,53 ppb,
Aqua Ohio - Worthington Hills Public Water System,None,,,
Aqua Ohio - Aurora E,Bromodichloromethane,4.92 ppb,0.06 ppb,
Aqua Ohio - Aurora E,Bromoform,1.35 ppb,0.5 ppb,
Aqua Ohio - Aurora E,Chloroform,3.19 ppb,0.4 ppb,
Aqua Ohio - Aurora E,Dibromoacetic acid,1.55 ppb,0.04 ppb,
Aqua Ohio - Aurora E,Dibromochloromethane,5.36 ppb,0.1 ppb,
Aqua Ohio - Aurora E,Dichloroacetic acid,1.28 ppb,0.2 ppb,
Aqua Ohio - Aurora E,Haloacetic acids (HAA5)†,3.75 ppb,0.1 ppb,60 ppb
Aqua Ohio - Aurora E,Total trihalomethanes (TTHMs)†,14.8 ppb,0.15 ppb,80 ppb
Aqua Ohio - Aurora E,Trichloroacetic acid,0.623 ppb,0.1 ppb,
Aqua Ohio - Aurora E,Barium*,55.3 ppb,700 ppb,"2,000 ppb"
Aqua Ohio - Aurora E,Fluoride*,1.03 ppm,,4 ppm
Aqua Ohio - Aurora E,Monochloroacetic acid,0.435 ppb,53 ppb,
Aqua Ohio - Aurora E,Nitrate*,0.0133 ppm,0.14 ppm,10 ppm
Aqua Ohio - Aurora E,Nitrate and nitrite*,0.0133 ppm,0.14 ppm,10 ppm
Aqua Ohio - Aurora E,None,,,
Brookings Municipal Utilities,Chromium (hexavalent),0.868 ppb,0.02 ppb,
Brookings Municipal Utilities,Haloacetic acids (HAA5)†,16.3 ppb,0.1 ppb,60 ppb
Brookings Municipal Utilities,Haloacetic acids (HAA9)†,32.4 ppb,0.06 ppb,
Brookings Municipal Utilities,Nitrate,0.375 ppm,0.14 ppm,10 ppm
Brookings Municipal Utilities,Total trihalomethanes (TTHMs)†,51.6 ppb,0.15 ppb,80 ppb
Brookings Municipal Utilities,Chromium (total),0.833 ppb,,100 ppb
Brookings Municipal Utilities,Manganese,2.01 ppb,100 ppb,
Brookings Municipal Utilities,Molybdenum,5.37 ppb,40 ppb,
Brookings Municipal Utilities,Strontium,0.138 ppb,"1,500 ppb",
Brookings Municipal Utilities,Vanadium,3.17 ppb,21 ppb,
Brookings Municipal Utilities,None,,,
Colman,Chromium (hexavalent)*,0.320 ppb,0.02 ppb,
Colman,Haloacetic acids (HAA5)†,7.71 ppb,0.1 ppb,60 ppb
Colman,Haloacetic acids (HAA9)*†,13.4 ppb,0.06 ppb,
Colman,Nitrate*,4.00 ppm,0.14 ppm,10 ppm
Colman,Total trihalomethanes (TTHMs)†,26.6 ppb,0.15 ppb,80 ppb
Colman,Barium*,20.0 ppb,700 ppb,"2,000 ppb"
Colman,Chromium (total)*,0.228 ppb,,100 ppb
Colman,Manganese*,0.0575 ppb,100 ppb,
Colman,Molybdenum*,1.15 ppb,40 ppb,
Colman,Strontium*,0.177 ppb,"1,500 ppb",
Colman,Vanadium*,0.918 ppb,21 ppb,
Allegan,"Radium, combined (-226 &amp; -228)",1.31 pCi/L,0.05 pCi/L,5 pCi/L
Allegan,Total trihalomethanes (TTHMs)†,10.4 ppb,0.15 ppb,80 ppb
Allegan,Fluoride,0.295 ppm,,4 ppm
Allegan,None,,,
Elkton,Chloroform,2.15 ppb,0.4 ppb,
Elkton,Dichloroacetic acid,2.40 ppb,0.2 ppb,
Elkton,Haloacetic acids (HAA5)†,2.87 ppb,0.1 ppb,60 ppb
Elkton,Total trihalomethanes (TTHMs)†,2.15 ppb,0.15 ppb,80 ppb
Elkton,Trichloroacetic acid,0.467 ppb,0.1 ppb,
Elkton,Fluoride,0.945 ppm,,4 ppm
Elkton,None,,,
Flandreau,Chromium (hexavalent)*,0.320 ppb,0.02 ppb,
Flandreau,Haloacetic acids (HAA5)†,6.28 ppb,0.1 ppb,60 ppb
Flandreau,Haloacetic acids (HAA9)*†,13.4 ppb,0.06 ppb,
Flandreau,Nitrate*,4.00 ppm,0.14 ppm,10 ppm
Flandreau,Total trihalomethanes (TTHMs)†,25.2 ppb,0.15 ppb,80 ppb
Flandreau,Barium*,20.0 ppb,700 ppb,"2,000 ppb"
Flandreau,Chromium (total)*,0.228 ppb,,100 ppb
Flandreau,Manganese*,0.0575 ppb,100 ppb,
Flandreau,Molybdenum*,1.15 ppb,40 ppb,
Flandreau,Strontium*,0.177 ppb,"1,500 ppb",
Flandreau,Vanadium*,0.918 ppb,21 ppb,
Kingbrook I Rural Water System,Haloacetic acids (HAA5)†,12.7 ppb,0.1 ppb,60 ppb
Kingbrook I Rural Water System,Nitrate*,1.45 ppm,0.14 ppm,10 ppm
Kingbrook I Rural Water System,Total trihalomethanes (TTHMs)†,28.1 ppb,0.15 ppb,80 ppb
Newdale Colony,None,,,
Fcwa - Pleasant Valley,Arsenic,0.600 ppb,0.004 ppb,10 ppb
Fcwa - Pleasant Valley,Bromodichloromethane,1.24 ppb,0.06 ppb,
Fcwa - Pleasant Valley,Dibromochloromethane,1.03 ppb,0.1 ppb,
Fcwa - Pleasant Valley,Total trihalomethanes (TTHMs)†,2.83 ppb,0.15 ppb,80 ppb
Fcwa - Pleasant Valley,Barium,75.7 ppb,700 ppb,"2,000 ppb"
Fcwa - Pleasant Valley,Chloroform,0.565 ppb,0.4 ppb,
Fcwa - Pleasant Valley,Chromium (total),1.35 ppb,,100 ppb
Fcwa - Pleasant Valley,None,,,
Red Willow Colony,Nitrite,0.01000 ppm,,1 ppm
Red Willow Colony,None,,,
Southbrook Estates,Haloacetic acids (HAA5)†,10.00 ppb,0.1 ppb,60 ppb
Southbrook Estates,Nitrate,0.333 ppm,0.14 ppm,10 ppm
Southbrook Estates,Total trihalomethanes (TTHMs)†,30.0 ppb,0.15 ppb,80 ppb
Southbrook Estates,None,,,
City of Trent,Bromochloroacetic acid,1.31 ppb,0.02 ppb,
City of Trent,Bromodichloromethane,1.09 ppb,0.06 ppb,
City of Trent,Bromoform,6.00 ppb,0.5 ppb,
City of Trent,Chromium (hexavalent)*,0.131 ppb,0.02 ppb,
City of Trent,Dibromoacetic acid,3.02 ppb,0.04 ppb,
City of Trent,Dibromochloromethane,3.03 ppb,0.1 ppb,
City of Trent,Haloacetic acids (HAA5)†,3.77 ppb,0.1 ppb,60 ppb
City of Trent,Haloacetic acids (HAA9)*†,5.91 ppb,0.06 ppb,
City of Trent,Nitrate,3.40 ppm,0.14 ppm,10 ppm
City of Trent,Nitrate and nitrite,4.24 ppm,0.14 ppm,10 ppm
City of Trent,"Radium, combined (-226 &amp; -228)*",1.08 pCi/L,0.05 pCi/L,5 pCi/L
City of Trent,Total trihalomethanes (TTHMs)†,10.2 ppb,0.15 ppb,80 ppb
City of Trent,Uranium*,3.15 pCi/L,0.43 pCi/L,20 pCi/L
City of Trent,Aluminum*,5.77 ppb,600 ppb,
City of Trent,Barium*,150.0 ppb,700 ppb,"2,000 ppb"
City of Trent,Chlorate*,32.1 ppb,210 ppb,
City of Trent,Chlorite*,43.5 ppb,50 ppb,"1,000 ppb"
City of Trent,Chloroform,0.0800 ppb,0.4 ppb,
City of Trent,Chromium (total)*,1.09 ppb,,100 ppb
City of Trent,Cyanide*,101.6 ppb,,200 ppb
City of Trent,Di(2-ethylhexyl) phthalate*,0.1000 ppb,3 ppb,6 ppb
City of Trent,Dichloroacetic acid,0.340 ppb,0.2 ppb,
City of Trent,Fluoride*,0.618 ppm,,4 ppm
City of Trent,Manganese*,0.358 ppb,100 ppb,
City of Trent,Methyl ethyl ketone*,0.517 ppb,,
City of Trent,Molybdenum*,3.05 ppb,40 ppb,
City of Trent,Monobromoacetic acid,0.270 ppb,25 ppb,
City of Trent,Monochloroacetic acid,0.140 ppb,53 ppb,
City of Trent,Selenium*,2.32 ppb,30 ppb,50 ppb
City of Trent,Strontium*,1.30 ppb,"1,500 ppb",
City of Trent,Trichloroacetic acid*,0.0573 ppb,0.1 ppb,
City of Trent,Vanadium*,5.18 ppb,21 ppb,
City of Trent,None,,,
North University Estates,Arsenic,6.49 ppb,0.004 ppb,10 ppb
North University Estates,Bromochloroacetic acid,0.233 ppb,0.02 ppb,
North University Estates,Bromoform,6.59 ppb,0.5 ppb,
North University Estates,Dibromoacetic acid,1.78 ppb,0.04 ppb,
North University Estates,Dibromochloromethane,0.427 ppb,0.1 ppb,
North University Estates,Haloacetic acids (HAA5)†,3.60 ppb,0.1 ppb,60 ppb
North University Estates,Nitrate,8.39 ppm,0.14 ppm,10 ppm
North University Estates,Nitrate and nitrite,8.31 ppm,0.14 ppm,10 ppm
North University Estates,"Radium, combined (-226 &amp; -228)",0.12 pCi/L,0.05 pCi/L,5 pCi/L
North University Estates,Total trihalomethanes (TTHMs)†,19.4 ppb,0.15 ppb,80 ppb
North University Estates,Trichloroacetic acid,0.433 ppb,0.1 ppb,
North University Estates,Uranium,8.23 pCi/L,0.43 pCi/L,20 pCi/L
North University Estates,Barium,45.3 ppb,700 ppb,"2,000 ppb"
North University Estates,Chromium (total),1.67 ppb,,100 ppb
North University Estates,Di(2-ethylhexyl) phthalate,0.130 ppb,3 ppb,6 ppb
North University Estates,Fluoride,1.88 ppm,,4 ppm
North University Estates,Manganese,0.267 ppb,100 ppb,
North University Estates,Monochloroacetic acid,1.38 ppb,53 ppb,
North University Estates,Selenium,18.8 ppb,30 ppb,50 ppb
North University Estates,None,,,
Century Volga Psd,Bromodichloromethane,6.29 ppb,0.06 ppb,
Century Volga Psd,Chloroform,34.7 ppb,0.4 ppb,
Century Volga Psd,Dibromoacetic acid*,0.193 ppb,0.04 ppb,
Century Volga Psd,Dibromochloromethane,0.702 ppb,0.1 ppb,
Century Volga Psd,Dichloroacetic acid,11.4 ppb,0.2 ppb,
Century Volga Psd,Haloacetic acids (HAA5)†,33.5 ppb,0.1 ppb,60 ppb
Century Volga Psd,Nitrate*,0.350 ppm,0.14 ppm,10 ppm
Century Volga Psd,Nitrate and nitrite*,0.460 ppm,0.14 ppm,10 ppm
Century Volga Psd,"Radium, combined (-226 &amp; -228)*",0.44 pCi/L,0.05 pCi/L,5 pCi/L
Century Volga Psd,Total trihalomethanes (TTHMs)†,41.7 ppb,0.15 ppb,80 ppb
Century Volga Psd,Trichloroacetic acid,20.2 ppb,0.1 ppb,
Century Volga Psd,Antimony*,0.0333 ppb,1 ppb,6 ppb
Century Volga Psd,Barium*,27.4 ppb,700 ppb,"2,000 ppb"
Century Volga Psd,Bromoform*,0.0294 ppb,0.5 ppb,
Century Volga Psd,Fluoride*,0.392 ppm,,4 ppm
Century Volga Psd,Monobromoacetic acid,0.207 ppb,25 ppb,
Century Volga Psd,Monochloroacetic acid,1.78 ppb,53 ppb,
Century Volga Psd,None,,,
Abenaki Water/white Rock Water,Arsenic,6.20 ppb,0.004 ppb,10 ppb
Abenaki Water/white Rock Water,"Radium, combined (-226 &amp; -228)",1.60 pCi/L,0.05 pCi/L,5 pCi/L
Abenaki Water/white Rock Water,Total trihalomethanes (TTHMs)†,0.504 ppb,0.15 ppb,80 ppb
Abenaki Water/white Rock Water,Barium,25.5 ppb,700 ppb,"2,000 ppb"
Abenaki Water/white Rock Water,Bromoform,0.188 ppb,0.5 ppb,
Abenaki Water/white Rock Water,Chloroform,0.0913 ppb,0.4 ppb,
Abenaki Water/white Rock Water,Dibromochloromethane,0.163 ppb,0.1 ppb,
Abenaki Water/white Rock Water,Fluoride,0.720 ppm,,4 ppm
Abenaki Water/white Rock Water,None,,,
Baltic,Haloacetic acids (HAA5)†,7.85 ppb,0.1 ppb,60 ppb
Baltic,Nitrate*,0.450 ppm,0.14 ppm,10 ppm
Baltic,Total trihalomethanes (TTHMs)†,14.5 ppb,0.15 ppb,80 ppb
Brandon,Dichloroacetic acid,2.53 ppb,0.2 ppb,
Brandon,Haloacetic acids (HAA5)†,2.53 ppb,0.1 ppb,60 ppb
Brandon,"Radium, combined (-226 &amp; -228)",1.90 pCi/L,0.05 pCi/L,5 pCi/L
Brandon,Total trihalomethanes (TTHMs)†,0.670 ppb,0.15 ppb,80 ppb
Brandon,Chloroform,0.670 ppb,0.4 ppb,
Brandon,Fluoride,0.861 ppm,,4 ppm
Brandon,Nitrate,0.211 ppm,0.14 ppm,10 ppm
Brandon,None,,,
City of Colton,Arsenic,0.329 ppb,0.004 ppb,10 ppb
City of Colton,Bromodichloromethane,0.290 ppb,0.06 ppb,
City of Colton,Chromium (hexavalent),0.720 ppb,0.02 ppb,
City of Colton,Dibromoacetic acid,0.236 ppb,0.04 ppb,
City of Colton,Dibromochloromethane,0.528 ppb,0.1 ppb,
City of Colton,Haloacetic acids (HAA5)†,0.236 ppb,0.1 ppb,60 ppb
City of Colton,Haloacetic acids (HAA9)†,1.82 ppb,0.06 ppb,
City of Colton,Nitrate,4.22 ppm,0.14 ppm,10 ppm
City of Colton,Nitrate and nitrite,2.39 ppm,0.14 ppm,10 ppm
City of Colton,Total trihalomethanes (TTHMs)†,4.81 ppb,0.15 ppb,80 ppb
City of Colton,Uranium,3.22 pCi/L,0.43 pCi/L,20 pCi/L
City of Colton,"1,4-Dioxane",0.0932 ppb,0.35 ppb,
City of Colton,Aluminum,12.2 ppb,600 ppb,
City of Colton,Bromoform,0.344 ppb,0.5 ppb,
City of Colton,Chlorate,88.8 ppb,210 ppb,
City of Colton,Chloroform,0.372 ppb,0.4 ppb,
City of Colton,Chromium (total),0.395 ppb,,100 ppb
City of Colton,Fluoride,0.422 ppm,,4 ppm
City of Colton,Manganese,13.1 ppb,100 ppb,
City of Colton,Molybdenum,3.00 ppb,40 ppb,
City of Colton,Perchlorate,0.0518 ppb,1 ppb,
City of Colton,Strontium,0.446 ppb,"1,500 ppb",
City of Colton,Vanadium,5.11 ppb,21 ppb,
City of Colton,None,,,
Crooks,Haloacetic acids (HAA5)†,17.9 ppb,0.1 ppb,60 ppb
Crooks,Nitrate*,0.450 ppm,0.14 ppm,10 ppm
Crooks,Total trihalomethanes (TTHMs)†,29.3 ppb,0.15 ppb,80 ppb
Dell Rapids,Haloacetic acids (HAA5)†,8.11 ppb,0.1 ppb,60 ppb
Dell Rapids,Nitrate*,0.450 ppm,0.14 ppm,10 ppm
Dell Rapids,Total trihalomethanes (TTHMs)†,15.5 ppb,0.15 ppb,80 ppb
Garretson,Haloacetic acids (HAA5)†,9.63 ppb,0.1 ppb,60 ppb
Garretson,Nitrate*,0.450 ppm,0.14 ppm,10 ppm
Garretson,Total trihalomethanes (TTHMs)†,21.6 ppb,0.15 ppb,80 ppb
Concord Care Center-hartford,Dichloroacetic acid,0.447 ppb,0.2 ppb,
Concord Care Center-hartford,Nitrate,1.07 ppm,0.14 ppm,10 ppm
Concord Care Center-hartford,"Radium, combined (-226 &amp; -228)",2.10 pCi/L,0.05 pCi/L,5 pCi/L
Concord Care Center-hartford,Barium,57.0 ppb,700 ppb,"2,000 ppb"
Concord Care Center-hartford,Chloroform,0.200 ppb,0.4 ppb,
Concord Care Center-hartford,Dibromochloromethane,0.0833 ppb,0.1 ppb,
Concord Care Center-hartford,Fluoride,0.153 ppm,,4 ppm
Concord Care Center-hartford,Monochloroacetic acid,0.805 ppb,53 ppb,
Concord Care Center-hartford,Selenium,1.65 ppb,30 ppb,50 ppb
Concord Care Center-hartford,None,,,
Humboldt,Aluminum*,"5,800.0 ppb",600 ppb,
Humboldt,Arsenic*,0.500 ppb,0.004 ppb,10 ppb
Humboldt,Atrazine*,0.287 ppb,0.1 ppb,3 ppb
Humboldt,Bromodichloromethane,5.77 ppb,0.06 ppb,
Humboldt,Chloroform,40.2 ppb,0.4 ppb,
Humboldt,Chromium (hexavalent)*,0.984 ppb,0.02 ppb,
Humboldt,Dibromochloromethane,1.12 ppb,0.1 ppb,
Humboldt,Dichloroacetic acid,12.9 ppb,0.2 ppb,
Humboldt,Haloacetic acids (HAA5)†,16.7 ppb,0.1 ppb,60 ppb
Humboldt,Haloacetic acids (HAA9)*†,27.8 ppb,0.06 ppb,
Humboldt,Nitrate*,1.99 ppm,0.14 ppm,10 ppm
Humboldt,Nitrate and nitrite*,5.25 ppm,0.14 ppm,10 ppm
Humboldt,"Radium, combined (-226 &amp; -228)*",0.74 pCi/L,0.05 pCi/L,5 pCi/L
Humboldt,Simazine*,0.201 ppb,0.1 ppb,4 ppb
Humboldt,Total trihalomethanes (TTHMs)†,47.1 ppb,0.15 ppb,80 ppb
Humboldt,Trichloroacetic acid,3.65 ppb,0.1 ppb,
Humboldt,2-Methoxyethanol*,0.150 ppb,,
Humboldt,Barium*,12.2 ppb,700 ppb,"2,000 ppb"
Humboldt,Chromium (total)*,0.539 ppb,,100 ppb
Humboldt,Dibromoacetic acid,0.0667 ppb,0.04 ppb,
Humboldt,Fluoride*,0.744 ppm,,4 ppm
Humboldt,Manganese*,0.487 ppb,100 ppb,
Humboldt,Monobromoacetic acid*,0.720 ppb,25 ppb,
Humboldt,Monochloroacetic acid,0.0800 ppb,53 ppb,
Humboldt,Strontium*,0.0657 ppb,"1,500 ppb",
